rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
43.8362770081 251.751068708
41.8722877502 243.47617414
41.5036010742 239.097365886
41.5215682983 239.155308261
41.4856109619 238.914702218
41.4954147339 238.938774913
41.4632110596 239.189910676
41.4438667297 239.58087755
41.527381897 238.284468457
41.5596923828 237.917156193
41.6052436829 238.207015493
41.5671882629 236.712885642
41.5515937805 237.249603205
41.4912948608 236.411826305
41.4230690002 235.153844124
41.4357147217 235.489534093
41.3684196472 235.042734904
41.3766746521 234.366837627
41.3682365417 234.426075143
41.2635345459 234.51009502
41.3402671814 234.386191594
41.3592834473 234.467403194
41.3047904968 234.55359358
41.2327079773 234.368885694
41.2452659607 234.373263151
41.2124328613 235.389687895
41.140712738 234.626670618
41.1027908325 233.636959922
41.0791893005 233.995705846
41.0760803223 233.717173445
41.0734443665 233.2819291
41.0795059204 232.690608803
41.0757293701 232.500945191
41.1083564758 232.783435078
41.116317749 232.767198618
41.1196136475 233.343384488
41.1400108337 232.965893632
41.1301383972 232.696805063
41.1293716431 232.725421989
41.1357727051 232.653037791
41.1389350891 232.464966065
41.1304550171 232.550927491
41.1219329834 232.151928515
41.1250457764 232.151963245
41.1615600586 232.667221022
41.1522369385 232.779507603
41.155506134 232.421968833
41.1460113525 232.572968478
41.1418266296 232.079254397
41.1435241699 231.774837139
41.0998840332 232.799016254
41.1026611328 232.481920475
41.0987625122 232.019251154
41.1040496826 232.037706539
41.1002922058 232.132968609
41.1028938293 232.130982349
41.0770683289 231.920380492
41.0759506226 231.693658862
41.0822868347 231.400672808
41.07862854 231.636534421
41.0768241882 231.160168576
41.0781059265 231.621722676
41.0995178223 231.223353739
41.1041297913 230.943048317
41.10338974 230.858029445
41.1225280762 232.328155506
41.1043586731 231.117085575
41.0953788757 231.716586616
41.0940742493 231.748860074
41.1101455688 231.084497177
41.1160469055 231.228563908
41.1104660034 231.099051733
41.0993156433 231.335065205
41.0972709656 232.676551369
41.085849762 231.993690866
41.1209487915 231.152231711
41.1104431152 231.416921399
41.1069221497 231.417723938
41.1047554016 231.465338671
41.1132164001 231.606872832
41.1060791016 230.864469656
41.1090240479 230.6378946
41.1345901489 231.333008315
41.1511993408 231.782000541
41.1686134338 232.013506699
41.1575469971 231.907186571
41.1408920288 231.400682567
41.1445999146 230.948980465
41.1450424194 231.355010054
41.136844635 231.81677074
41.1483802795 231.256094635
41.1564788818 231.364845563
41.1130523682 231.254107411
41.1134109497 230.964376348
41.1300048828 231.257719624
41.143497467 230.54307649
41.1445503235 231.344259851
41.1364822388 230.760231152
41.1158218384 230.650353095
41.1128196716 229.980407899
41.1161270142 231.124811997
41.0692825317 231.290178101
41.1092681885 230.728243557
41.0869941711 230.172759398
41.0963478088 230.306623102
41.108089447 230.099265164
41.0997238159 231.170242212
41.1171340942 231.644350833
41.1432037354 230.369779856
41.2040939331 232.265778006
