rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
56.6571159363 241.317274515
27.8425559998 149.49576347
26.9198131561 136.903253019
25.9898586273 131.484549395
26.0716075897 130.152851072
26.4904327393 126.831437947
25.9956207275 130.217418599
26.4143543243 126.956220063
26.0908679962 123.695344672
26.0353012085 125.062033933
26.3092575073 121.049539528
26.0306949615 130.713075988
25.6545219421 120.816331274
25.4097824097 123.254971092
25.570646286 122.747766568
24.7804813385 121.643939319
25.4882392883 121.55993827
25.5172653198 120.779834492
25.2938861847 125.070468575
24.3496437073 118.735909067
24.5597324371 122.388196827
23.6135158539 121.513014395
20.8727874756 117.247639087
19.3123054504 108.975370681
19.4339942932 111.412653779
19.431848526 113.003193892
19.3552379608 107.281858164
18.5675296783 104.905881629
17.3465023041 96.306018789
17.8822593689 96.3086614049
18.482252121 97.5734155914
18.0544719696 100.045002622
18.25522995 96.9519380834
18.1613044739 99.4044370469
17.9929351807 95.5020467542
18.046913147 96.2362045609
16.9442825317 95.5665261548
17.0722942352 95.4914861873
17.0277481079 95.9160714061
16.9536190033 97.7177115911
17.6114292145 96.4835505635
17.4474029541 93.2793767789
17.0739688873 96.0929026142
16.9706916809 87.7999445462
16.9399013519 91.7604082457
16.9043884277 90.8777753693
16.9989719391 92.6981155775
16.4395637512 87.508098443
16.1750278473 88.9967076302
15.9156723022 94.3697325682
15.9671373367 96.2177792878
16.1853580475 92.5413716373
16.0228157043 92.4410928516
15.9215450287 90.3175153128
16.4608440399 91.5702355124
16.3432407379 91.5528460961
16.0050163269 90.7086188139
15.940618515 90.6535404371
16.3429870605 89.3872140605
16.4256858826 90.061727985
16.9574508667 90.2329223731
16.7606086731 90.378691124
16.9582557678 87.5597788492
16.9332733154 86.2957793254
17.1533069611 85.441870759
16.9584980011 94.1923955895
16.906042099 90.5063391263
16.6265163422 89.5292321736
16.4019031525 91.4102107989
16.5148563385 91.869562621
16.7315368652 90.4609947776
16.9009590149 90.2871548889
17.2962627411 88.4120175584
17.064748764 88.6364355908
16.9845581055 83.4113558855
17.076089859 82.0556065055
16.8206615448 82.9997986781
16.7456474304 84.9038538394
17.1800251007 79.1943903998
16.9852828979 78.1492215263
17.2452468872 82.6567899226
16.9379348755 78.8893254551
16.812374115 84.2189441288
17.2747955322 74.9632935405
17.3160018921 80.9291234463
17.2060852051 77.3046670525
17.4582748413 78.9629096492
17.1365013123 76.448605116
17.1451835632 81.3217715873
17.5430221558 79.1701079821
17.3649692535 78.2735002728
17.3198795319 75.2433383464
17.1598834991 79.8271763003
17.0816669464 79.5688263602
16.7408313751 81.2630319949
