rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
42.6374092102 233.805023406
23.1540164948 160.974051288
22.4337215424 152.089149395
22.3230876923 150.371647217
22.0459804535 148.629132984
21.2351932526 152.630286215
19.7034225464 140.039864202
19.498380661 139.06323098
19.1559619904 136.768537909
18.8592262268 134.033676494
18.9932193756 134.96610751
18.8123340607 134.196252241
19.034078598 134.488890451
18.8481807709 133.498957278
18.4247589111 135.168360816
18.3779582977 133.212859346
18.2444534302 133.342278746
17.8282241821 129.804403734
17.7003612518 129.358817361
17.9406757355 127.112246582
17.7573223114 128.59461609
17.7676963806 123.360175967
17.5627117157 127.335516811
17.554725647 124.942652274
17.5835762024 123.99572966
17.282831192 123.619803326
16.9335975647 110.992242999
16.8842029572 107.678361796
16.8236465454 106.010206751
16.681634903 108.473068727
16.7097072601 112.495843086
16.7282161713 111.75534209
16.5263633728 109.453435951
16.7099018097 105.192947032
16.7617950439 109.48716736
16.7930374146 110.303574769
16.6835975647 116.75539754
16.2199935913 108.838556041
16.41837883 104.566630572
16.1389465332 103.692260526
16.4495487213 105.646863627
16.2206478119 105.747939279
16.3959503174 103.152008513
16.3970146179 102.301703562
16.6578083038 110.406761256
16.2812404633 112.383507551
16.4023704529 112.309285911
16.3420619965 104.147877419
16.3196544647 111.528701902
16.4023609161 107.237917549
16.3949050903 109.77915755
16.3975143433 108.841915708
16.217874527 106.403341481
16.1988201141 106.030574875
16.2356376648 114.267561479
16.5216197968 100.909815216
16.5474052429 102.586160825
17.0623397827 104.162042136
17.3646240234 98.3179390172
17.3935585022 95.908051117
17.7053661346 98.7904394443
17.6396865845 100.270181692
17.6073570251 95.0813218135
17.4135818481 94.8057730914
17.1621513367 96.6916445978
17.2782440186 95.9891449927
16.9294643402 97.0435332825
17.0304336548 85.3581777666
17.0178489685 84.3439929866
17.0692901611 91.186729051
17.0788345337 82.6038394341
17.1305274963 78.3886381402
17.0606937408 80.6330617519
17.0152740479 83.6711303834
16.9955558777 88.3797801313
16.920124054 81.3376720216
17.0345516205 87.8154853747
17.020526886 89.1995088007
16.9687004089 86.3464968797
16.9416065216 88.2319474704
16.6398639679 92.9622324636
16.7523479462 87.59794963
16.874584198 88.9913535145
17.1497402191 89.5130603685
16.9885673523 89.4879599188
16.7978992462 91.8713740494
16.7267932892 86.6512151012
16.8987483978 84.7210778349
16.9524784088 86.7442276291
16.8451843262 86.03322206
16.8667697906 85.4619886721
16.8503856659 83.9564302083
16.915845871 87.974370819
16.7526283264 83.468630504
16.9972457886 88.7136060172
16.7714939117 85.4352198997
16.8250102997 90.8011689894
16.7812995911 90.8140266647
16.8143081665 91.1260095155
16.937166214 85.9924716055
16.7033462524 87.8573654101
16.7874660492 88.1806180423
16.5191955566 85.7316324253
16.6894359589 89.667890945
16.9824237823 91.4006622852
16.8607635498 89.8772684009
16.9225997925 88.2005214887
16.8642292023 86.6535586641
16.8955783844 88.2058018506
17.1596374512 87.535684205
16.8976268768 89.6847915308
16.8885478973 90.1471179432
17.0725059509 88.1610441724
16.762348175 85.8008432497
16.6379127502 86.4570773558
16.4936256409 88.7130730858
16.4935512543 83.6856933466
16.2592124939 83.978535133
16.277803421 80.4438139026
16.4112682343 81.7273974381
16.5204257965 80.5639436973
16.6514644623 83.3522257107
16.9750499725 81.7682595029
17.5266056061 81.3373505239
17.2972202301 83.0297182243
17.6688232422 80.1660107352
17.4807872772 79.0136390104
17.6251411438 75.7915357438
17.4428939819 87.36513834
17.637140274 81.3793009774
17.7744407654 84.0095576535
17.8270645142 80.3477446709
17.7311210632 83.6383753556
17.4936733246 82.2632398992
17.5691623688 80.9942461161
17.6957607269 79.4601730609
17.9050445557 81.1450025439
17.6406536102 83.2319944353
17.6123924255 81.9704127646
17.6967697144 82.621465379
17.1841335297 77.3694969555
17.402507782 74.9806185857
16.8791027069 72.0360650403
16.6348705292 72.4408098197
17.0493793488 70.2426262069
16.9737186432 70.6145865696
17.0748271942 68.2817943294
17.0028438568 67.0438696957
16.8206615448 64.5416376371
16.936006546 66.3677725998
17.0355224609 68.3011838831
17.4039821625 66.9045073789
17.0271701813 70.5070264178
17.41365242 73.3459627568
17.2015991211 66.171474072
17.2084655762 82.3863492466
17.1353931427 71.2038653744
17.0182552338 76.3450937274
16.8068981171 72.5022873365
17.3559455872 76.2426157445
17.5439434052 72.1259084226
17.5776023865 72.0197325983
17.6409854889 68.9303169826
17.4285049438 75.556309701
17.5027484894 70.2664933402
17.616771698 68.4694619495
17.1699733734 67.4744980618
17.09882164 64.8781193118
17.4751567841 66.5641816787
rmsd best score this run is 60.7746467107
rmsd it has a RMSD of 16.939990997316.9399909973 60.7746467107
repacking frequency for this run is 100
50.6336975098 253.637878004
23.138671875 154.922937831
20.2174377441 136.217527624
19.3191680908 132.775772299
18.7621707916 134.885917302
18.0078735352 128.840191505
17.8434906006 127.733863729
16.901468277 122.199420043
16.7603969574 119.187927513
17.2631626129 115.263163961
17.3348751068 117.321470874
17.2657546997 113.984963885
17.2348251343 117.92575524
17.0407562256 118.76920952
17.0927963257 116.553886603
17.1259670258 112.804186913
16.9832420349 111.395646378
16.7753353119 110.320152392
16.5262451172 109.399098295
16.7986221313 107.373416374
16.5693130493 105.145810878
16.4808330536 103.410559848
16.3268814087 109.318849802
16.5301303864 107.930700752
16.67827034 109.13156201
16.462677002 111.441727573
16.8605232239 109.515068014
16.8928108215 114.390851866
16.6812419891 106.790737438
16.6011714935 109.752949789
16.8516654968 106.013136603
16.7894420624 109.447506711
16.7836284637 109.053725748
16.4136943817 108.388233876
16.6307487488 107.597103306
16.3479347229 108.248217744
16.834936142 102.462020269
16.362455368 119.259350697
16.6382713318 110.542801786
16.5184707642 110.497480416
16.5741024017 113.929015465
16.7771720886 105.071803037
16.6314678192 104.416368453
16.5585327148 108.315065524
16.7502403259 102.570184147
16.8440799713 105.317082648
16.8841075897 102.990493952
16.9198150635 101.344124674
16.9393062592 101.516025152
16.9128856659 101.263133452
16.9238777161 101.315735362
16.7828884125 103.984554834
16.6588039398 99.9618746243
16.4096603394 108.165226107
16.1587467194 109.457719998
16.0999603271 102.658479828
16.1876716614 100.560046215
16.1221733093 101.659172013
16.2500171661 100.617336141
15.9054431915 98.6893526094
15.8726844788 93.6327630954
15.787935257 93.4854500661
15.8322629929 91.4688497553
15.8687410355 91.6455375333
15.9638719559 92.7315537147
15.6136322021 91.1322897684
15.7388162613 94.1481510797
15.4581756592 92.7962521722
15.2371320724 92.6645744234
15.615363121 88.2398566545
16.0595741272 94.1154623028
15.9469804764 88.8278396217
15.7818059921 83.077611041
15.6812419891 84.3089323236
15.1991214752 85.4022714575
15.3390007019 83.7468470454
14.9668416977 82.6042401759
14.8588676453 81.0333032298
14.8183670044 84.1994596769
15.2937316895 85.2262004628
15.0142879486 81.380387283
15.2548618317 82.963153783
15.291229248 79.4042298054
15.081152916 77.0977855481
14.8780937195 75.5750764517
14.7580947876 67.2777992637
14.6701469421 70.0036825505
14.8077583313 69.2875622999
15.0474491119 65.3168151665
14.9504470825 66.5616527959
14.7081031799 67.0812321299
14.9984550476 79.578955866
14.9307107925 73.846803867
15.1947059631 73.9279698055
15.1361255646 67.0354146605
15.0166692734 64.6398820193
15.0781183243 72.1831162945
15.2800884247 67.348487395
15.1480951309 62.9665720288
14.9871788025 67.6746478775
15.1648340225 69.8898649709
15.1639442444 68.483602386
15.2333908081 69.4438172644
15.1265821457 67.8970765311
14.8045110703 70.5466021884
14.700630188 71.2264588987
14.989405632 67.2958634714
15.2787799835 63.7750361181
15.0915002823 67.0422998241
15.1016712189 67.6456113949
14.8683080673 69.176440913
14.7736434937 70.9711017782
14.9637098312 67.57540684
14.804813385 61.3000424945
14.8958864212 62.9660577017
15.0000638962 63.2235855464
14.8759412766 70.0042307526
14.9042568207 63.1892620976
15.0282917023 66.5613462132
14.8721094131 62.3428551296
15.0446300507 68.072129323
15.0549020767 68.7597520503
15.2994756699 70.0753465245
15.4352931976 69.8312203727
15.2069196701 68.8861153841
15.2972745895 68.3927051215
15.16751194 71.1818353151
15.2106933594 75.7487682582
15.1714982986 75.0481604963
15.1553592682 69.5435525329
15.2113409042 71.9032346331
15.5565662384 69.8546303699
15.6423807144 66.618698988
15.7295227051 69.6827830057
15.583738327 73.8517378991
15.5317878723 80.6920960962
15.3708305359 70.5585470037
15.290599823 75.2085202516
15.9137220383 69.482055276
15.5386552811 67.3350452339
15.8400688171 64.7342766588
15.5412864685 71.4508889299
15.3034124374 67.5708764194
15.4738502502 64.9247951488
15.7596635818 70.570355552
15.6833429337 66.2011691153
15.7739591599 66.5180962053
15.6431980133 66.0513698201
15.4698286057 66.4567139544
15.7948913574 64.053910012
15.8404541016 65.6901796041
15.9076128006 65.6424072325
16.2452106476 60.8135282812
16.088640213 64.8229984991
15.5968923569 72.196902659
15.7591495514 69.5749244037
15.7466907501 72.0907651368
15.5077476501 73.3744373672
15.7148103714 67.3984914571
15.8235836029 63.9863169712
15.6795549393 69.2309317458
15.6085481644 64.6521218762
15.7409162521 63.0399366909
15.6565685272 59.5613396249
15.9151992798 61.8627313263
16.6910457611 67.4760677486
15.7912330627 65.6180249528
15.660279274 63.3535635882
15.8555755615 59.1529804845
rmsd best score this run is 55.6300702277
rmsd it has a RMSD of 15.663786888115.6637868881 55.6300702277
repacking frequency for this run is 1000
42.6300201416 232.674932365
21.3053302765 149.011075963
21.2604160309 147.126067226
21.1436710358 142.967972048
20.6657180786 151.653359743
20.6902008057 149.039903023
21.3246498108 146.375535051
21.0349445343 148.484121973
21.1631565094 143.575978991
21.2844696045 142.167522487
20.9686546326 144.608635653
20.7050991058 141.285350736
19.8232383728 137.950032312
19.7065067291 142.709143619
20.0740299225 142.713315855
20.0850124359 142.540783925
19.8550033569 138.581354174
19.9624900818 136.795249279
19.598985672 142.083467504
19.2954807281 139.025373935
19.2669048309 132.786168955
19.0383415222 134.831488313
18.6047210693 130.567211736
18.4973049164 129.751602171
18.0863170624 123.741908667
18.2689285278 128.914835867
18.4486103058 130.170877052
18.2236404419 127.250889378
17.871673584 133.63089541
18.0894069672 125.313776333
18.0370788574 133.945320151
18.1810035706 125.816103284
18.2007446289 131.483642666
18.252948761 132.402651014
17.8796100616 131.934356842
17.7463855743 131.601717942
18.0735378265 125.088530714
18.1647529602 130.496205466
18.1522808075 124.90166336
18.157459259 132.548365587
17.8786392212 128.15849479
17.9251327515 126.408229287
18.0313415527 125.550886519
17.8459777832 126.838422047
17.7935199738 122.621358419
18.0576438904 125.937042057
18.084733963 123.880409626
17.9663658142 132.381594245
18.2573413849 122.620966955
18.3382034302 121.464175908
18.395357132 124.209863085
18.2796001434 130.807948248
18.2697105408 126.850433321
18.2962589264 121.815608824
18.2205219269 124.190466462
18.4130859375 119.234748868
17.8131732941 128.132471758
18.0407447815 122.786603828
17.9282493591 122.481655845
18.0414009094 121.557316893
18.1394958496 119.929650405
18.3637008667 121.908897677
18.5845661163 117.330342073
18.2873420715 121.495989765
18.4894275665 118.311838114
18.5410137177 119.189467377
18.6016941071 117.213528375
18.5538330078 114.72725242
18.4938087463 118.708284853
18.6757030487 123.796034374
18.1318778992 125.063399391
18.0863780975 126.932849275
17.7655849457 127.312027233
17.8655948639 122.377897948
17.7584953308 120.967691378
17.7097244263 123.858110556
17.8042526245 128.013966756
18.194229126 128.33495507
17.809551239 127.824806102
17.7979850769 123.046836526
17.5730209351 117.396263086
17.3689785004 117.364651261
17.614862442 122.197409992
17.3614196777 118.08869994
17.2232055664 117.272725488
17.3025531769 113.23722897
17.1916370392 116.881904308
17.063615799 109.930804801
16.9640846252 113.519141179
16.8570861816 117.962025482
17.0403442383 115.373162975
16.6173973083 123.191306549
16.8186283112 115.173890196
16.8525428772 117.63430108
16.710943222 110.217059709
16.9191417694 119.365075442
17.6568698883 117.40825716
17.7134170532 113.839474057
17.3846492767 120.752255478
17.3231105804 112.606946425
17.279504776 112.460001105
17.184015274 113.037797288
17.2538661957 113.59164864
16.9386444092 114.513308556
16.9363250732 111.093120123
16.7240486145 106.893345737
16.7562847137 111.398582554
17.1373443604 110.825801242
16.8072490692 107.443150639
16.5688743591 105.761505147
16.6441669464 108.448912708
16.8302288055 107.718700147
16.9772510529 107.076356965
17.2458724976 105.555125321
16.9306697845 101.870481533
17.023639679 103.4006801
16.8500022888 107.975850872
16.8084850311 104.652784058
16.8816661835 106.678522664
17.0308837891 105.488639057
17.0382556915 105.314366029
16.9369945526 106.198096695
16.9695396423 102.059339109
16.9009037018 102.265899455
16.8162994385 99.6601761573
16.7164535522 93.9550474859
16.6687450409 94.3422366297
16.4474544525 93.7676768173
16.5057849884 92.0065449939
16.4473953247 92.9159406879
16.5211544037 95.4192767646
16.4790554047 97.5626107679
16.4917011261 97.8532565357
16.3749809265 93.4646391305
16.4905796051 92.7344273225
16.5048847198 93.4050837679
16.5066432953 96.995679125
16.3578453064 92.6698110587
16.3977470398 92.0394429644
16.7021694183 93.4690896975
16.2288722992 86.356353746
16.3776302338 92.395375852
16.2760391235 86.4029195939
16.5172023773 93.8057750755
16.4660148621 84.148289865
16.3022346497 84.2250550835
16.3300361633 84.5274117259
16.4517803192 92.2980727165
16.2162647247 86.5768096396
16.0632076263 90.5638009332
15.8256835938 91.4449750761
16.2086429596 86.3460003324
16.4981079102 86.6944423855
16.5599651337 88.0804209513
16.3953018188 85.1846628464
15.8287162781 90.6628355362
16.0971260071 85.0479615418
15.607257843 86.5156882075
15.7026500702 88.6268572458
15.5293636322 81.7437599637
15.2987041473 81.2107164805
14.9629383087 81.4861416036
14.9912939072 81.8896962256
15.0515050888 84.7803453912
14.9714727402 78.0701986206
15.4434270859 86.1821331661
15.6739053726 92.9452321431
15.7092847824 88.8322125718
16.011762619 93.5907733244
rmsd best score this run is 76.9723548056
rmsd it has a RMSD of 14.976341247614.9763412476 76.9723548056
repacking frequency for this run is 10000
43.8890266418 234.591374671
21.2478656769 153.263878119
20.3443527222 134.599410909
20.3302993774 136.533953869
20.1508789062 137.29710768
20.0178165436 135.901886821
19.9092826843 136.497822793
19.9167175293 135.996704782
19.7784900665 133.702692444
19.7993812561 134.220554787
20.0359287262 134.331218797
19.8427009583 133.873079831
19.8488273621 133.917204204
19.4629688263 133.780706083
19.4387340546 135.542246074
19.4399986267 133.51007651
18.2032585144 131.108818875
18.3768310547 127.179153752
18.1640644073 125.77646395
17.7806186676 127.722448457
17.9641838074 126.539985502
18.5326881409 129.795904302
18.3263168335 126.895434506
18.1727905273 129.18555888
18.123840332 125.144713935
18.4024772644 126.235438023
18.1420707703 125.338705953
18.1692237854 122.157082218
18.2647151947 120.938649299
17.9654273987 121.328229882
17.7123966217 122.980357132
17.9798145294 124.485874475
18.1028633118 124.779619864
18.0063476562 125.747482934
18.0821056366 119.597030703
17.689458847 124.061318665
18.4043998718 124.230362337
18.0297222137 123.095131155
