rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
84.3835525513 359.849426363
83.2846984863 350.83170979
83.2312011719 350.627485913
83.2667922974 350.600803595
83.2724914551 350.539465518
83.2516860962 350.524780951
83.3115615845 350.484050744
83.295135498 350.101140688
83.3071594238 350.552192907
83.1880645752 350.210079742
83.2663421631 349.989136103
83.2374954224 350.046750743
83.2302398682 349.335179373
83.1675567627 349.279806145
83.1288223267 349.375797305
83.1339797974 348.287854078
83.0856628418 348.67074648
83.0473937988 349.330842779
83.0953216553 347.794327076
83.0738143921 348.233097208
83.1029129028 348.198549502
83.1042175293 347.71129905
83.0012817383 348.118128145
83.0152893066 347.623865706
83.0360794067 347.554615004
82.9965133667 347.597237515
83.0085754395 347.478538856
83.0112762451 347.180331921
83.0097045898 347.129466162
83.0025939941 347.173531825
83.0084152222 347.060467746
83.0305938721 346.862812359
83.0450820923 347.665774721
82.8857192993 346.121603193
82.8246994019 347.645880094
82.8648071289 346.414672128
82.8338241577 345.938849144
82.8191833496 346.836015609
82.7491149902 346.390306939
82.8533706665 346.082317643
82.8771896362 345.788310884
82.9223556519 346.529642733
82.7529602051 345.982214877
82.7286071777 345.256616997
82.7265472412 345.333476002
82.7245635986 345.374692582
82.7193145752 345.469499035
82.7621688843 345.326889496
82.7510910034 345.64247933
82.7098312378 345.116911712
82.5414047241 345.024261581
82.5392684937 344.156099172
82.5329589844 343.807009839
82.5352249146 344.20746552
82.5458068848 344.447346128
82.5293273926 344.361544284
82.5410995483 343.899851233
82.4971618652 345.067831525
82.4726867676 344.488339205
82.3929290771 344.202620916
82.3910369873 344.308633712
82.3521652222 343.439748839
82.3583755493 344.518873942
82.3925552368 344.692243407
82.4001083374 344.189737285
82.358039856 344.650715305
82.3707733154 343.981549727
82.3638305664 343.81451252
82.3701934814 344.150035859
82.3711395264 343.848813798
82.3789825439 343.738084729
82.3699798584 344.35930146
82.3657836914 343.971110352
82.4064102173 344.092993862
82.4200439453 344.222057869
82.37550354 343.737359255
82.3592834473 343.728471552
82.3354949951 343.367237448
82.3431472778 343.856562703
82.3615646362 343.755130498
82.3526077271 343.564512416
82.3610305786 344.482028296
82.396812439 344.360169183
82.3048629761 344.110306657
82.286026001 344.047013055
82.290687561 344.149281293
82.2587585449 343.920979378
82.2547988892 343.622261952
82.2835540771 344.139713685
82.2396850586 343.493573865
82.2168045044 343.712101314
82.2082138062 343.98749933
82.1860656738 343.877607208
82.1390380859 343.761472442
82.1520690918 343.622333259
82.1299133301 343.292067597
82.1617736816 343.317081
82.2004852295 343.685074542
82.182975769 343.433728588
82.194770813 343.195981433
82.1865310669 343.594825252
82.2314071655 342.762823867
82.2422866821 343.575693876
82.2268295288 343.447774429
82.2304611206 342.962349718
82.2232055664 343.085970778
82.2218856812 343.873831615
82.2620544434 343.234211996
82.2418899536 343.60223734
82.2462387085 343.840190165
82.2611083984 343.929974675
82.2423248291 343.762338706
82.2304840088 343.554335934
82.2301864624 343.679377687
82.2334518433 343.444613396
82.2299575806 343.367454554
82.2033081055 343.481576451
82.1957550049 343.471751265
82.1399688721 345.145970631
82.131477356 344.237000549
82.1466522217 344.451712728
82.1859817505 343.749370767
82.1779708862 343.839989605
82.188835144 344.179482724
82.1937408447 343.736772447
82.1717834473 343.348816383
82.1617736816 344.001190501
82.153755188 343.883119619
82.1927642822 345.483291729
82.1657485962 343.69164996
82.2004699707 344.411408271
82.1873931885 343.658448578
82.1887512207 343.800696127
82.1641464233 343.214815358
82.1969223022 343.306461488
82.1788024902 343.315679493
82.1600799561 342.865397498
82.1571502686 343.21832151
82.2296142578 343.205890279
82.2321853638 343.680039553
82.2347946167 343.435487198
82.2235183716 344.262679717
82.2119445801 342.699838695
82.1926116943 343.11977609
82.2117233276 342.963812154
82.1914138794 342.637144275
82.1801605225 343.167172635
82.1889343262 342.977353181
82.1857147217 342.811397386
82.1799621582 343.626588067
82.1992950439 343.350416724
82.1650772095 343.596321375
82.1854858398 342.873391019
82.2085189819 342.643706428
82.2317123413 342.527105703
82.2083892822 343.168333537
82.214302063 342.987591179
82.2222747803 342.844507295
82.2132720947 342.595617872
82.1867218018 343.117389529
82.2086791992 342.929853528
82.210723877 343.271379614
82.2233352661 343.386369875
82.19972229 343.669384304
82.2161560059 342.820111638
82.2249145508 343.405849543
82.2448348999 343.133276617
82.280670166 343.475898799
82.2958831787 343.675164865
rmsd best score this run is 341.941303743
rmsd it has a RMSD of 82.21010589682.210105896 341.941303743
repacking frequency for this run is 100
83.6825561523 355.712337007
82.8113021851 350.487679965
82.7786331177 350.356098849
82.7588348389 349.944967588
82.7598190308 349.452256773
82.7886276245 349.600680434
82.8251724243 350.230839618
82.8498840332 349.74087415
82.8637542725 349.095413738
82.9085998535 348.941377494
82.8788909912 347.29204387
82.8717651367 348.205605786
82.8510894775 348.234303358
82.8567123413 347.560296231
82.8561248779 347.719168749
82.8551254272 347.669174411
82.9304962158 347.777033729
82.9231185913 347.818480835
82.9343643188 348.360638828
82.9429244995 349.664789719
82.9899520874 348.943638455
82.9836120605 348.868490282
82.8734970093 348.264361335
82.9093551636 347.709852875
82.907699585 346.79123549
82.8867645264 347.039840326
82.8895950317 346.733690275
82.8739776611 346.735074261
82.8634796143 347.354419317
82.7735519409 346.630487942
82.7454910278 346.063187958
82.7491836548 345.821657745
82.7378921509 346.397929756
82.7366638184 345.862263304
82.7328338623 345.705818028
82.748008728 345.718391371
82.7262573242 346.319439717
82.7276382446 345.532020378
82.7535552979 345.914371387
82.7066726685 345.802359239
82.7245101929 345.022098474
82.7577667236 346.38746186
82.7254486084 345.137504515
82.6851730347 346.563722633
82.6857223511 345.458476333
82.6819000244 345.428593458
82.7180938721 345.511530792
82.7100372314 345.099161333
82.6937179565 345.638553842
82.7023086548 345.807258704
82.687461853 345.710953956
82.7031784058 344.861172023
82.7073898315 345.530717399
82.7050704956 345.34643026
82.7044830322 345.243237208
82.7059707642 345.281365035
82.6883773804 345.554051699
82.6811065674 345.509092844
82.6798858643 346.259958207
82.7042694092 345.838714953
82.6899719238 345.642841816
82.6900177002 345.217444317
82.6722183228 345.110818679
82.684677124 345.349957519
82.6742095947 345.488429334
82.6801605225 345.900043588
82.6602859497 345.69128517
82.6604385376 345.425633731
82.6592788696 345.26740973
82.7091598511 345.898349848
82.7182922363 346.110359808
82.727355957 345.956561413
82.735824585 346.031858294
82.7430419922 345.351566251
82.7005233765 346.102402654
82.7489013672 346.043501848
82.712059021 345.598341938
82.7335205078 345.599976404
82.7192077637 345.992774062
82.7576446533 346.490956015
82.7918319702 345.505497024
82.7619400024 345.752549802
82.7469100952 346.506201686
82.7276687622 345.953098081
82.7810897827 345.579029557
82.7413864136 346.11496408
82.6839904785 346.454980432
82.7073669434 345.812912091
82.7157592773 345.339963414
82.7329025269 345.887620506
82.7612762451 346.144357739
82.7856292725 346.449223232
82.7674102783 346.34385933
82.7971954346 347.105723782
82.7738037109 345.710204666
82.7859191895 346.299046615
82.7843093872 345.567085326
82.7729568481 346.096562232
82.8076095581 345.314584968
82.8062286377 345.595407465
82.8039321899 345.161464509
82.8121643066 346.350257097
82.8277816772 346.12321914
82.8437805176 345.87302625
82.8073806763 345.661862187
82.8031463623 345.777785671
82.7459335327 345.954954405
82.7700195312 345.700877729
82.7686309814 345.474384978
82.7779769897 345.33083653
82.7324523926 347.078177991
82.7250747681 345.443664431
82.7351226807 346.142053411
82.7316207886 345.527906227
82.7418365479 345.361529136
82.7657394409 345.601126941
82.7329788208 345.4928648
82.7711715698 346.12740567
82.7551651001 345.730589603
82.7739486694 345.425844895
82.7541809082 345.425330702
82.7590255737 345.565194621
82.7581863403 345.285191447
82.7415771484 345.724346412
82.7372970581 345.571218102
82.731010437 345.492886881
82.7540588379 345.259064714
82.7501449585 345.757499926
82.7615585327 346.314472732
82.7277603149 345.3512872
82.7168197632 345.294021605
82.7186355591 345.389229754
82.6914978027 345.25568962
82.6960296631 345.070989213
82.7131652832 344.982525928
82.661315918 344.745060138
82.6580200195 344.257528359
82.6651306152 344.531225824
82.6397018433 344.701119
82.6359024048 344.695953626
82.6488647461 344.70095208
82.6580886841 345.397768087
82.6726150513 344.574945775
82.6707839966 344.720198134
82.6746368408 344.86596011
82.6704864502 344.617500279
82.661567688 345.137025838
82.6660308838 344.305783331
82.6642608643 344.819110549
82.6644744873 345.678303939
82.6826934814 344.569745221
82.6806259155 344.381550389
82.6566467285 345.036033947
82.6464767456 344.57961256
82.6551208496 344.905611073
82.6602249146 345.534744077
82.6791305542 344.923698338
82.6653518677 345.202072562
82.653503418 344.232728151
82.6815490723 344.835782327
82.7066116333 345.102484689
82.6604919434 344.551597319
82.6696548462 345.491716718
82.6898651123 344.904664607
82.6605834961 344.929310233
82.6807632446 345.039058939
82.677947998 345.008960615
82.6891174316 344.827032033
82.7107391357 344.932323947
rmsd best score this run is 344.107742398
rmsd it has a RMSD of 82.680068969782.6800689697 344.107742398
repacking frequency for this run is 1000
85.0552825928 360.633106813
83.3124313354 353.64692799
83.1426315308 350.909748867
83.1122131348 350.900323699
83.0132598877 350.710164209
82.9591293335 350.52343625
82.9288635254 349.917014757
82.9340057373 350.875384396
82.9251480103 349.539184074
83.0934295654 348.304063531
83.0607452393 347.463400167
83.0328979492 347.820620952
82.9781112671 347.380919054
82.9537277222 347.178844798
83.0028152466 348.106509153
82.959526062 347.101558593
82.95652771 347.507137171
82.9903869629 348.038333622
82.9784622192 347.833564373
82.9596481323 348.835266977
82.9872817993 347.88794204
83.0144805908 347.986422257
82.9971618652 346.954232608
82.9666595459 347.642272417
82.953414917 348.228316548
82.9362106323 348.67340192
82.9113388062 347.931900219
82.9097290039 348.377042527
82.7989349365 347.849294278
82.7756652832 348.054636688
82.7785568237 347.786200347
82.7160186768 347.212080502
82.7138366699 346.391686767
82.7099685669 346.428675307
82.7018356323 346.54962672
82.7121658325 345.83006343
82.69581604 346.139648529
82.7121582031 346.273511304
82.7136993408 346.26594158
82.7074356079 345.938365676
82.6976928711 345.817128996
82.6994247437 345.565158002
82.7002410889 345.675204558
82.7158126831 345.930108913
82.7181930542 345.599766068
82.7213439941 346.004136563
82.7107849121 345.964291338
82.7353973389 346.978566663
82.8261871338 347.016290789
82.8272705078 347.044121138
82.7733078003 346.580253958
82.7145996094 346.277361249
82.6927871704 345.847127086
82.6981887817 346.211828539
82.7097625732 345.984599123
82.6898880005 345.928914551
82.6962814331 346.344441522
82.6935424805 346.263251218
82.706237793 346.456113649
82.719619751 346.360646325
82.7284851074 346.316463439
82.7425689697 346.552370922
82.7534866333 346.904123757
82.7571182251 346.485387147
82.7693328857 346.914934654
82.7584457397 346.4665426
82.7664031982 346.625683613
82.7661819458 346.40335726
82.7636489868 346.186516215
82.7666702271 346.752816149
82.741394043 346.142210603
82.7441635132 346.112454073
82.7294921875 346.163165273
82.7339782715 346.414652293
82.7588348389 346.459392099
82.744644165 346.688061724
82.718711853 346.249892902
82.735244751 346.239264625
82.7157669067 346.08241934
82.7052841187 345.729786669
82.7146072388 345.751502744
82.702003479 347.42981487
82.7120361328 346.826824476
82.7218933105 347.10313553
82.7236557007 346.274463441
82.7160644531 346.209553551
82.710067749 346.149502322
82.7162399292 346.307901436
82.6958618164 346.159258276
82.690032959 345.892757965
82.6996307373 345.955024147
82.7292098999 346.2159385
82.7352828979 346.097879041
82.7411880493 345.939787449
82.7304000854 346.984249169
82.7022476196 345.773895816
82.7004089355 345.398137096
82.7010726929 345.231447749
82.7107772827 345.60163102
82.7069320679 346.039132426
82.7000808716 345.731649524
82.6891021729 346.195513046
82.6931533813 345.941994569
82.7164001465 346.450383115
82.7253952026 346.016561614
82.7314529419 345.743385518
82.7282333374 346.441072985
82.73046875 345.796834893
82.7322463989 346.191977883
82.7178344727 345.585684191
82.7330245972 346.055145933
82.73412323 346.287433414
82.7958297729 346.436643337
82.7887878418 346.469819701
82.7788467407 346.835061029
82.7873153687 346.883743726
82.7822036743 346.821633486
82.7717895508 346.547884396
82.7792358398 346.572783815
82.7713775635 346.186901965
82.757522583 345.499469596
82.7470397949 345.838182992
82.78565979 346.780244547
82.7646713257 346.644539945
82.7481536865 347.153240879
82.7071228027 346.51264454
82.7104949951 346.139704659
82.732383728 345.615985904
82.7466430664 345.830066453
82.7449569702 345.897607982
82.7272567749 346.033069202
82.7460327148 346.494471117
82.7666320801 346.108833153
82.7549514771 347.24717054
82.7471847534 344.943433434
82.7426986694 345.262453534
82.746963501 344.921028597
82.745223999 345.527035019
82.757019043 345.795501301
82.7373123169 345.639546482
82.7301483154 346.597958612
82.7322845459 345.868509879
82.7182159424 346.790830241
82.725944519 345.222402473
82.7545471191 346.097186679
82.7552947998 345.653303916
82.7461090088 345.479821835
82.7464141846 346.386127311
82.7515945435 346.336078443
82.7385635376 345.553228425
82.7393951416 345.378686076
82.7436981201 345.692959181
82.7261962891 345.929392293
82.7536773682 345.859755894
82.7464141846 345.380654118
82.7532806396 345.894567266
82.7466583252 345.758739968
82.7484893799 345.334958534
82.700843811 345.467476825
82.7017745972 345.804537252
82.700958252 345.304586569
82.7100219727 345.63236179
82.7200012207 345.201968123
82.7130126953 345.243205143
82.7144699097 345.052156542
82.6887054443 346.396375011
82.736831665 345.370161023
82.7292404175 345.157479951
82.7220077515 345.308161621
rmsd best score this run is 344.648233245
rmsd it has a RMSD of 82.746437072882.7464370728 344.648233245
repacking frequency for this run is 10000
85.6031646729 362.356250926
84.4271316528 356.647991157
84.2783660889 355.878128812
84.058555603 355.249349017
83.8160400391 353.374688932
83.7442016602 352.483667111
83.7425689697 351.284957642
83.7756195068 353.157329093
83.6299438477 351.520202995
83.5455474854 351.143129204
83.5265960693 351.020559716
83.4064788818 349.850506974
83.4492416382 350.408646463
83.3812942505 350.244858784
83.3946914673 349.67587764
83.3150863647 350.487874308
83.2362289429 350.059833335
83.2151870728 350.314245965
83.1791687012 349.45504201
83.111579895 349.739903903
83.1063613892 349.072147231
83.126625061 349.319050113
83.0953063965 349.165905003
82.9377365112 349.001247456
83.0113525391 348.3029298
82.9071731567 348.962917212
82.822555542 347.873182619
82.8008575439 347.90673589
82.7928009033 348.087958705
82.7914123535 347.974058246
82.7705230713 349.31574171
82.768951416 348.527407561
82.7721786499 347.535323541
82.7684326172 346.622774829
82.5274124146 346.532934739
82.5436019897 346.264269768
82.5538024902 346.112815341
82.5903320312 346.409469567
82.6211090088 347.001890601
82.5916290283 345.943417812
82.5690460205 346.464740643
82.5699615479 346.791969488
82.5375366211 345.898780522
82.5109786987 345.81579479
82.5172271729 345.354122493
82.5019454956 345.676447614
82.5203475952 346.151664585
82.5303573608 345.636051395
82.5267715454 346.293084802
82.6040496826 347.16479287
82.5805053711 345.950449873
82.5368728638 346.490292608
82.4983215332 345.788499242
82.4982299805 345.669494438
82.5076904297 345.558382674
82.5013809204 345.789860035
82.5454788208 346.145050411
82.6135482788 346.116613212
82.6272583008 346.317918112
82.5453414917 346.097281071
82.5285339355 345.758387627
82.5809555054 346.620828174
82.5134735107 345.948916939
82.529876709 345.601435077
82.5397796631 346.035968818
82.4638977051 345.472006878
82.4599914551 345.20018035
82.4649505615 345.406074731
82.4560165405 345.327110019
82.4834136963 345.611728623
82.4807662964 345.267111047
82.4862365723 345.008527272
82.4792861938 345.168883105
82.4274215698 345.195607662
82.4434127808 345.242540403
82.4374084473 345.28105673
82.4469985962 345.712596667
82.4538803101 345.463693226
82.458694458 345.781335255
82.4759979248 345.728812865
82.4739761353 345.557813181
82.4478912354 346.069867508
82.4458694458 345.526721142
82.4842758179 345.984325471
82.4529495239 345.7116935
82.5336456299 345.796284785
82.5186157227 345.63503153
82.5101699829 345.657563657
82.5883483887 346.081429569
82.5266799927 345.64537663
82.4993972778 345.665856124
82.4365539551 345.154294135
82.4952163696 345.257273395
82.395652771 345.19619411
82.3970413208 345.267087896
82.4003448486 345.116186369
82.4108200073 345.229229958
82.46484375 345.663799871
82.4338989258 345.307272385
82.46459198 346.431741946
82.4316329956 345.270292991
82.4028167725 346.429372772
82.4093322754 345.302240769
82.4239959717 344.99412122
82.4200592041 345.361886008
82.4209976196 345.281127944
82.4472732544 345.386486114
82.4453735352 345.340703133
82.4077682495 345.917880305
82.458732605 345.225145418
82.4334411621 345.370874005
82.4327316284 345.325456659
82.45728302 345.374208739
82.4535140991 345.109172542
82.4332275391 345.461717396
82.4048461914 345.666431503
82.4248733521 345.869471023
82.3915786743 345.436703467
82.3843231201 345.206501421
82.2994766235 346.398987997
82.2995147705 346.494888696
82.3093643188 346.33128066
82.2996139526 346.040442856
82.3234100342 345.916070155
82.2821502686 346.014696687
82.2537002563 345.62689329
82.3112640381 345.601899167
82.2883834839 345.382012124
82.2130203247 344.901356803
82.1782150269 343.389473318
82.2058792114 342.906210676
82.1645050049 343.24862343
82.1646575928 342.566975104
82.1518936157 342.700999425
82.165145874 342.668620026
82.1668777466 342.937134815
82.1751098633 343.245433487
82.181602478 343.008094651
82.1645965576 343.066173308
82.1358261108 342.944573899
82.122428894 342.260614637
82.0892410278 342.83758005
82.0965805054 343.432652572
82.1152114868 342.145402845
82.1324462891 342.664575335
82.1234359741 342.577248053
82.11668396 342.588849366
82.1009216309 342.414706201
82.1218185425 342.807749898
82.1435852051 343.302480606
82.1438522339 341.950416381
82.121055603 342.487109456
82.1097106934 343.279726961
82.1191101074 342.794005377
82.1322479248 342.855237188
82.125038147 342.532854372
82.1474380493 343.052975211
82.1563796997 342.532503419
82.1359558105 342.464939162
82.1347808838 342.48814522
82.122467041 343.585660776
82.1368713379 342.963950751
82.1649398804 342.832679206
82.1725311279 343.158560222
82.1488876343 342.452147338
82.1603088379 343.098640427
82.1536941528 342.851330918
82.1560211182 342.673971454
82.1459579468 342.567858776
rmsd best score this run is 341.683156886
rmsd it has a RMSD of 82.117645263782.1176452637 341.683156886
