rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
70.5388412476 314.353321557
30.0182514191 189.658833353
25.8831005096 164.166227443
25.9037246704 164.916788855
25.2191371918 160.25540708
24.8544559479 163.188549866
24.3956203461 165.145427453
21.1686134338 152.094537071
20.7005577087 142.84114444
20.1856899261 134.107617714
19.9730739594 133.970515516
19.748884201 140.244484691
19.3978252411 133.701282469
19.1418209076 127.706116424
18.708152771 129.884560962
19.1243057251 134.061221612
19.319519043 134.598242636
18.8985424042 125.989657648
18.9859771729 131.712761537
19.1006336212 122.230766762
19.2342205048 127.38426865
18.3041553497 134.704748871
18.4915351868 119.311352256
18.4246177673 126.011938545
18.8180274963 126.148774241
18.7368240356 118.705541732
19.0557231903 124.946493951
18.859462738 122.916539348
18.8166484833 118.499257992
18.7055625916 115.452078228
18.4057197571 123.72839318
18.4423980713 121.520466462
18.6079788208 120.190966937
18.5550231934 127.368792817
18.2146377563 119.1381709
18.3299617767 117.441166127
18.3915481567 117.138252363
17.4646072388 114.997505717
16.9486923218 122.625835507
17.3368968964 118.459783885
17.153717041 128.854942411
17.7881908417 119.466705967
17.1833076477 117.163518979
17.3654136658 112.329735975
17.8422584534 115.652601725
17.5582447052 120.859200687
17.5494804382 118.306727958
17.2854213715 118.21481945
17.177438736 118.675702389
17.3592815399 107.848130151
17.049779892 109.814186561
16.9069423676 110.682744379
16.8066253662 108.463321099
16.6953582764 105.801272649
16.6000080109 104.955783013
16.7425193787 107.828927633
17.2283287048 109.43521014
17.1755752563 112.658630292
17.0750160217 105.536044907
17.1055965424 117.468517412
17.1147041321 106.805924072
17.20561409 102.644953072
16.9097995758 100.390061941
17.0098361969 109.79638495
16.9110660553 109.439855754
16.587266922 109.608781933
16.8993339539 112.094085495
16.9151344299 107.533150842
16.8463687897 104.376174547
16.5134162903 109.87721682
16.4213085175 104.191931311
16.5512390137 112.102782995
16.2751026154 110.815333538
16.1557846069 110.418916287
16.1255645752 105.298731852
16.0975475311 104.815520299
16.4066791534 108.07320082
16.5140895844 108.62907207
16.552116394 105.594091513
16.5056705475 107.328859588
16.5536251068 110.00814355
16.4767570496 109.698649279
16.7578830719 104.640964674
16.6292953491 109.781085498
16.5069580078 109.665413448
16.4129810333 109.921737822
16.631565094 104.058935585
16.4934444427 98.5533684159
16.5226097107 102.246723241
16.5877056122 103.451832201
16.428653717 100.498965761
16.3058567047 101.860560422
16.2910919189 93.0010520415
16.3927993774 99.8635293506
16.3678512573 102.016298877
16.2474136353 102.607864662
16.1895580292 98.8879810651
16.245923996 102.622638698
16.0523891449 100.527670321
16.1530303955 101.941500593
15.7178134918 106.392281303
16.0765895844 108.855654699
16.2107048035 103.013313988
16.0003414154 106.32560632
15.7762947083 107.505922591
15.6705417633 106.476276359
15.5640172958 113.304812894
15.1227226257 115.868709543
15.7148332596 112.184153536
15.5215768814 102.678318039
15.3042125702 113.781017757
15.4555063248 104.63567411
15.7630033493 109.742136659
15.1234922409 100.963634983
14.8686513901 103.797610959
15.150384903 113.229411117
14.8678197861 100.374975453
14.9600114822 97.0126269321
15.0431222916 100.486654126
14.9263153076 101.673692829
15.1626977921 102.899571925
15.3012123108 97.4043448512
15.3827610016 101.462965173
15.6906604767 106.603009103
16.0254192352 104.788127881
15.4795045853 99.0397755702
15.4979944229 102.552120552
15.0577945709 98.2812583015
14.6086330414 103.123395287
14.8160839081 98.9622872079
15.2199897766 108.415067643
15.2436523438 105.077237112
15.0335969925 100.526683642
15.3174009323 99.5644673202
15.3610944748 100.399049881
15.3373060226 105.990960923
15.1891403198 109.912104658
15.2982244492 106.389831645
15.4069833755 101.772323869
15.1233224869 117.066950304
15.1779108047 105.133823081
14.8438625336 104.531810169
14.8308153152 117.411532006
14.9205999374 113.211347347
15.3659267426 109.662442955
15.5400047302 116.195734581
15.4842729568 107.54759954
15.4336719513 112.012258991
15.9108772278 104.569505887
15.6896123886 108.9099929
15.8619556427 104.67046032
15.7443876266 105.231995932
15.460559845 107.365682596
15.501332283 104.980647487
15.2829685211 107.240450782
15.1810979843 109.017171098
15.1739845276 105.602944402
15.1188564301 103.061774712
15.2811222076 99.0531377597
14.7586069107 106.047794114
15.0783958435 108.323862469
15.2066984177 107.071036913
15.0936450958 111.10092047
15.0573167801 101.405411451
15.0562171936 99.4737402182
14.9605417252 107.232983013
14.7914600372 100.12845912
14.5900249481 99.7721995949
14.4819612503 115.343999194
rmsd best score this run is 90.8226176554
rmsd it has a RMSD of 14.727334976214.7273349762 90.8226176554
repacking frequency for this run is 100
60.7592124939 284.41948508
24.2404594421 171.454527553
25.1052455902 153.618727549
24.9614391327 161.133169189
24.8159580231 163.621909351
24.6296672821 161.633552916
24.4271831512 161.331227488
24.6110115051 160.893008395
24.6459465027 158.387367731
23.7632236481 157.940954589
23.7706642151 155.676472099
24.0158348083 156.127553388
24.0290603638 152.921257448
23.6271076202 153.008863367
23.4639148712 157.72142296
23.3353214264 156.885568324
23.0372848511 157.396682542
23.0880489349 158.626946146
22.8749485016 157.526636521
22.8182830811 157.992862853
22.7430934906 162.550112204
22.6473445892 156.462938347
23.0103244781 156.368192697
22.7242984772 150.755265626
22.6473655701 155.121976434
22.1410808563 154.536698765
22.0410308838 147.720829338
22.002696991 144.635995071
21.7597007751 144.175713285
20.7574691772 142.326873044
20.6368751526 138.332331884
20.5052490234 138.763045343
20.1004447937 139.757638643
19.9653663635 129.237960371
19.9720249176 143.32161025
20.0877494812 133.023179258
19.9409809113 133.76160854
20.3829307556 134.525044244
20.4249458313 127.540026527
20.0613536835 137.000608171
20.2157382965 129.981214725
19.9750881195 130.626223858
20.0360069275 141.118901267
19.738368988 128.207814477
19.5899810791 132.276649915
19.9601993561 129.350915301
20.0314159393 131.246289322
19.7918682098 134.457701148
19.8822669983 136.234175033
20.10039711 130.510930331
20.0958881378 130.528017184
20.0445308685 131.525808412
