rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
99.2866821289 375.17694963
96.4585189819 364.799249066
96.2430801392 362.520526242
95.6528778076 360.602592249
95.6968078613 359.635004545
95.5804519653 358.562384195
95.5994491577 358.617455203
95.6879119873 359.527885666
95.7036972046 359.238601449
95.7085723877 359.234403417
95.7053527832 358.995208924
95.5629119873 359.717871674
95.4388809204 353.168010596
95.5865097046 353.106979002
95.5465164185 350.492164245
95.5352401733 348.748387089
95.5509109497 349.682578224
95.5831298828 350.009785972
95.5760574341 350.104226446
95.5756225586 350.607359408
95.5684967041 349.384271344
95.5446166992 350.765822233
95.45287323 350.262672406
95.5260620117 349.413431024
95.5258331299 348.851028104
95.47706604 349.614495306
95.5358810425 349.412995758
95.5835266113 349.468622245
95.5938568115 349.627977919
95.6086730957 350.644972104
95.5328903198 349.411777573
95.5632781982 349.806064868
95.4567337036 349.377090069
95.5068511963 350.056800928
95.5412597656 349.316110998
95.538230896 349.34910952
95.4990310669 349.398741852
95.5495681763 350.703678725
95.423866272 351.228451154
95.4965209961 349.671624923
95.5528106689 349.945947113
95.5495758057 350.368558279
95.5694274902 349.811801665
95.5858001709 350.966403576
95.5452880859 349.425660169
95.5077514648 349.22906219
95.4912948608 349.550647988
95.3022918701 350.118110635
95.2352600098 349.067408155
95.2956008911 350.883130359
95.2606964111 351.1039606
95.21824646 350.620034561
95.2245407104 349.732407735
95.2124176025 349.552247882
95.2270355225 349.096737783
95.2684936523 352.114716834
95.2043304443 349.808807939
95.1772842407 348.904221654
95.1892318726 349.835410696
95.1785049438 351.1371159
95.1342544556 350.159632916
95.1332626343 349.635065938
95.1223602295 349.715987591
95.1486434937 349.053212424
95.1357116699 348.905546326
95.1643447876 348.881465274
95.1728591919 348.707991471
95.1620178223 348.090448292
95.1262588501 348.473805058
95.1418914795 348.330105389
95.1263275146 347.144977206
95.1354751587 347.881888312
95.153678894 347.712817466
95.1499099731 347.713887328
95.1410140991 347.473230967
95.1745758057 347.21112539
95.1637573242 347.593044442
95.1500473022 347.660667503
95.1538009644 348.310211113
95.1464614868 348.796133142
95.1752548218 347.601411619
95.1475601196 348.543952516
95.1307449341 348.31640293
95.1217422485 348.106964782
95.1410140991 347.351686417
95.1181411743 347.868683922
95.100730896 346.918497179
95.1384124756 347.333384525
95.130607605 346.9577088
95.1341247559 346.696350024
95.118812561 347.198227426
95.1314544678 347.758339385
95.1161804199 349.78752877
95.1162414551 348.197559067
95.1225204468 347.69347068
95.1204986572 347.402200052
95.1213302612 348.721734242
95.106803894 348.595273882
95.121925354 348.812246485
95.1329498291 347.717580064
95.1335144043 347.253789522
95.1383514404 348.862918575
95.131729126 348.894894227
95.0980987549 347.541680585
95.0833282471 347.048176721
95.1224212646 350.238029168
95.1380462646 349.421766598
95.0981750488 347.648074382
