rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
75.945854187 780.968734819
76.0449829102 776.755611589
76.2318344116 776.702067954
74.4587249756 776.646663418
75.1550674438 776.771924348
76.3464050293 776.190838536
75.6686248779 775.949909673
76.1483535767 775.929628008
74.50415802 775.885207359
74.2676925659 775.964279005
75.7936477661 776.016919832
74.6743469238 775.920316178
74.0458374023 774.430977057
73.3198165894 774.274754725
72.4063491821 774.012723258
72.4590148926 773.333721348
72.5175476074 773.717445007
72.5340118408 773.65841975
72.3626098633 773.890522561
72.7865371704 773.880980316
72.4931259155 773.281179139
72.5026092529 773.279083834
72.48072052 773.458632948
72.4109268188 773.203024829
72.4770202637 773.641246299
72.5208587646 773.764074725
72.3346252441 773.541845041
72.5345840454 773.261405438
72.4425735474 773.478890463
72.6229553223 773.489216214
72.3378601074 773.614172886
72.5643615723 772.78881085
72.2994537354 772.582784901
72.4418411255 772.717029763
72.1543426514 772.984913483
72.2280731201 772.970276547
72.2756729126 772.665441108
72.1004638672 772.441457173
72.2278823853 772.587941916
71.8271865845 772.473678976
71.7089614868 771.660197459
71.7249984741 772.101071083
72.0096740723 772.58318519
72.0771789551 773.458724454
72.0697860718 772.652549933
72.0752334595 772.128972052
72.1577987671 772.877468912
72.0723953247 772.440534226
71.9576797485 771.973282345
72.0835266113 771.979192929
72.1546401978 772.51669164
72.0366821289 773.848396341
72.4370651245 775.165569262
72.2596435547 773.628469754
72.0322952271 774.895364618
72.1932373047 773.11533139
72.3308639526 772.352530745
72.2984161377 772.751000243
72.3603668213 774.365983576
72.3181762695 772.34065034
72.3575057983 773.637620548
72.2819290161 772.401216248
72.2587661743 772.657518759
72.3547668457 772.906998037
72.3022232056 772.350784112
72.2908172607 772.348750289
72.3124313354 772.927673052
72.2785644531 771.75891148
72.2606582642 771.480975211
72.3480682373 773.771677355
72.1516418457 772.695107646
72.011100769 773.894911152
71.9756317139 771.847677524
71.9057312012 772.681822896
72.1139068604 770.17377178
72.0033111572 773.573206926
71.9264755249 771.432962948
71.8739013672 772.230162934
71.635597229 772.274385389
71.4806442261 771.680817932
71.6282958984 772.397554379
71.9223709106 771.585441754
71.7601623535 772.138504474
71.7658996582 771.311811941
71.6526489258 771.583924972
71.596321106 772.234625534
71.6468658447 772.422805662
71.6686477661 770.742216417
71.7113647461 770.047878603
71.7549514771 770.435603081
71.7739028931 770.929874962
71.6982269287 770.633234735
71.7647094727 770.514690353
71.693901062 770.89889658
71.6681976318 771.381697642
71.703742981 772.21298765
71.6335144043 772.107214373
71.5706176758 772.066527674
71.6322937012 771.577791738
71.5809249878 772.314999554
71.5694274902 772.098738781
71.5532531738 771.361751109
71.5017166138 771.598725812
71.4898529053 770.970136485
71.4573745728 771.260531404
71.503616333 771.159872254
71.4773864746 770.896126661
71.4839248657 770.465031448
71.4518966675 770.715860961
71.4689712524 772.686255382
71.4137878418 771.248048787
71.5005111694 771.74420739
71.52318573 772.160906694
71.5204086304 771.239289219
71.4737854004 770.907386944
71.4427719116 770.662787457
71.448097229 770.179826609
71.4317779541 770.99467006
71.4442977905 770.965870989
71.4639434814 770.422673741
71.4875335693 770.220987112
71.4729614258 770.040301016
71.5260162354 769.988223565
71.5046844482 770.283756315
71.5195617676 770.020124673
71.5643081665 771.04403125
71.4762573242 770.052776696
71.5581207275 770.52257801
71.4754180908 770.024799728
71.5207901001 769.380370747
71.603553772 769.761534498
71.5992431641 770.038480845
71.6281509399 769.696609587
71.5968399048 769.375448419
71.547454834 769.669308973
71.57056427 769.208108165
71.5503768921 768.575711794
71.5350189209 769.136186892
71.5875930786 769.542290266
71.56690979 768.579821428
71.7747955322 771.591198415
71.9578475952 769.802332999
71.9236755371 771.446502089
71.8540725708 769.727140099
71.7928848267 769.432497336
71.673324585 769.659239495
71.623260498 768.175788579
71.6221618652 767.86982032
71.6573104858 770.905315779
71.5135345459 766.46680131
71.5082473755 768.771059759
71.4652709961 769.952231788
71.5834732056 768.219560817
71.5026473999 769.29032961
71.5383758545 767.697494614
71.5728988647 767.430400373
71.5349960327 769.093966602
71.5528640747 766.810796975
71.5343780518 767.787866436
71.4951019287 766.539995608
71.4751663208 767.628973095
71.5178833008 768.872990362
71.5859985352 769.026271241
71.5919418335 768.944950198
71.5679855347 768.072696423
71.5612487793 768.264358727
71.5233154297 768.628350598
71.5530319214 767.185532055
71.5623397827 769.187187628
rmsd best score this run is 766.431320481
rmsd it has a RMSD of 71.510856628471.5108566284 766.431320481
repacking frequency for this run is 100
76.6643600464 780.958527581
75.7485198975 776.588019411
74.6234588623 776.449768761
72.5830459595 776.309146371
72.3236236572 775.379032272
72.4503631592 774.651682639
72.2910919189 774.589367906
72.4014968872 774.443812596
72.7619781494 774.712889494
72.3987731934 774.682716788
72.5646743774 774.745180897
72.7980117798 774.67251853
72.4204406738 774.719752626
72.5339126587 774.725132607
72.3090209961 774.604628955
72.6307601929 774.691873447
72.4975585938 774.729914937
72.7216949463 774.729660568
72.6463699341 774.803690937
72.4447555542 774.477214927
72.5578689575 774.432310003
72.5486373901 774.421725126
72.4112472534 774.572350991
72.5471878052 774.694834367
72.5353240967 774.50213889
72.5718231201 774.477179054
72.6590042114 774.403495328
72.4837722778 774.46881175
72.4045639038 774.553076645
72.6544494629 774.442471234
72.467086792 774.686348531
72.4264221191 774.691886978
72.4449539185 774.70145956
72.4193344116 774.520552361
72.4792633057 774.663133927
72.4019622803 774.556448271
72.5673980713 774.71905488
72.4850234985 774.330279862
72.5776519775 774.704008778
72.5593338013 774.629284323
72.5318374634 774.562464
72.5281219482 774.357512956
72.7059020996 774.410966303
72.5008773804 774.449329037
