rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
72.2425842285 689.91196951
68.3635482788 555.901180072
69.7356109619 430.217062367
64.4638290405 379.557113333
57.5077590942 278.6965884
53.7239151001 136.579115623
44.3614730835 -3.64896363228
39.2465515137 -28.0238252143
40.6481552124 -30.1861457039
39.2606048584 -30.6682876662
39.1112174988 -30.7599897095
37.6171073914 -30.841593433
38.8049316406 -29.8430681705
40.681476593 -30.6004460772
45.5235710144 -31.1968274627
43.6716461182 -31.5249163537
44.9305496216 -31.9694105109
46.7796592712 -31.7931881382
43.6205024719 -33.1745778192
36.9018592834 -33.7932508648
35.2917289734 -33.48712319
36.7568244934 -33.5230705357
38.3464889526 -33.3620059511
44.2480278015 -33.3731206761
40.6097106934 -33.057509171
37.8077735901 -33.6334133184
43.5903396606 -33.3127313205
51.1146774292 -33.4936195348
44.8629226685 -33.5607210067
44.6419944763 -33.608653082
46.3060951233 -33.4129762857
43.8104286194 -33.6219714676
46.022644043 -33.4693293173
39.1670913696 -34.2335628365
36.9795837402 -34.4132855349
36.7289085388 -34.5663064125
41.1533355713 -34.2961465806
37.3221435547 -34.6055740476
39.4038887024 -34.7908111897
42.0477790833 -35.1656559949
44.5548782349 -35.0043484979
44.0986213684 -34.7623116486
42.7020530701 -34.6497428964
51.2334213257 -34.7903909685
50.4237518311 -35.005839395
50.636554718 -34.5333333846
45.2850151062 -34.7775500886
40.7284812927 -35.0750859896
45.7291641235 -34.529982149
47.1384468079 -34.423816637
47.5577201843 -34.7666391077
45.430393219 -34.8404826821
42.9671592712 -35.2220999108
42.922039032 -35.1524365889
40.936794281 -35.9152914431
42.8680000305 -36.3112546868
38.0353622437 -36.9856210451
40.9088821411 -37.3912579114
37.7861366272 -36.9541562964
34.4630470276 -36.8145942532
38.5950889587 -36.957544313
34.4029998779 -37.2726887047
34.8770942688 -37.6245367743
34.2698287964 -37.589616281
32.241268158 -37.2650079991
36.7521629333 -37.7234335009
37.7895851135 -37.5048073001
37.6952514648 -37.1310718932
36.9598999023 -37.6354582249
36.9657249451 -36.9169318761
36.6299095154 -36.7247969839
35.3633003235 -37.0365276347
38.566493988 -36.8445901816
42.7848320007 -37.1902458438
44.8095397949 -37.1388110507
46.2060699463 -37.271096377
44.4389839172 -37.3909180061
40.7624282837 -37.2953772985
40.6209564209 -37.2557901135
42.9460830688 -37.6160873794
46.2230186462 -36.8564083138
37.4936676025 -37.5138482133
43.6870613098 -37.63153333
38.447883606 -37.5500252417
39.4101219177 -37.7605585217
43.9763908386 -37.3763946446
43.2592468262 -36.9781015557
45.5234375 -37.7218595927
49.6923828125 -37.9933906364
39.5768089294 -38.2524484317
42.9201316833 -38.0108303446
47.8578567505 -38.3281698934
47.3064804077 -38.1358303782
48.1771202087 -37.4824548007
49.8458137512 -38.0119619344
46.6567459106 -37.7832293116
49.3890686035 -38.5790576943
47.4602432251 -38.299727947
48.8948020935 -38.9034997782
47.5625114441 -38.2376923766
45.0180473328 -38.6163482634
44.6506576538 -38.7003002325
43.7456893921 -38.7017001666
47.0504875183 -39.1189466749
47.1106033325 -39.4494519672
46.3522186279 -39.6297629747
48.6661682129 -39.7608712997
50.4030036926 -39.6305251807
50.1546401978 -39.3782029537
50.4660377502 -39.5796170809
50.7050018311 -40.2006738951
51.1966781616 -39.9033166564
49.4663162231 -39.5398052748
48.9489021301 -40.1362803437
45.3170547485 -39.7953944543
47.5443191528 -39.786117372
51.5153579712 -39.5726481387
49.2561187744 -39.8393571334
49.1146736145 -39.8401073857
47.9927558899 -39.5496675584
50.1013298035 -39.7501393818
49.8746376038 -40.1718270127
49.1933746338 -40.3444200186
46.9260864258 -39.9873719677
44.9826660156 -40.166597351
48.6083641052 -39.8955401892
45.6124954224 -39.7554155732
47.2054023743 -40.3382248415
46.6700592041 -39.8658950541
45.4815254211 -40.0053637416
46.2806510925 -39.9578071846
50.6730804443 -39.9439446304
52.1522140503 -39.9116679315
51.0880622864 -40.2133454354
47.4418640137 -40.5337724345
49.0862464905 -40.1690363329
51.2124023438 -39.9968439232
51.7547073364 -40.3921362982
52.5821495056 -40.7879585357
50.298034668 -40.6488880823
50.929019928 -40.2969748497
51.251083374 -40.3386474056
46.7336883545 -40.3822114416
49.1588592529 -40.3289690206
44.8767967224 -40.3342678546
45.9597854614 -40.4712724362
46.1945304871 -40.4454087098
45.7200164795 -40.5215539016
45.9998817444 -40.4971129377
47.0080070496 -40.6424028607
42.8655586243 -40.0545699041
44.1819343567 -40.2515276218
39.4107475281 -40.3746418602
40.7667961121 -40.0536072767
37.682723999 -40.4417934983
41.31199646 -40.4636333858
39.478012085 -40.8253799986
42.9028167725 -40.6355498099
43.6419830322 -40.3844513847
41.8296546936 -40.1563966559
44.4112892151 -40.4826459367
43.1909370422 -40.024253488
44.7487983704 -39.9957846127
44.5504379272 -40.2905407488
46.2416191101 -40.6210676847
46.9010124207 -40.5924429115
48.8134803772 -40.6651499132
48.3992652893 -40.139134315
46.5133285522 -40.264363291
39.850189209 -41.0360063756
repacking frequency for this run is 100
44.69373703 -40.4884379504
43.1959571838 -40.1691058306
44.0372085571 -39.9668619491
42.9721641541 -39.8395861928
40.3538513184 -40.3446982602
46.088054657 -40.4376714247
42.008354187 -40.0838390868
40.5663528442 -40.0206028634
44.8137969971 -39.9286487528
45.9255981445 -40.2360774806
39.6508712769 -40.2078486362
40.5523376465 -40.7575517309
42.1530303955 -40.7204477438
41.9297370911 -40.0283018569
39.1416664124 -40.1683604331
38.5612297058 -39.9507465551
40.3727760315 -40.2962796291
42.3225822449 -39.4934374765
40.961605072 -39.8645024307
41.2141494751 -40.1573370041
40.5182533264 -40.4327093298
44.1168022156 -40.4580907243
40.849357605 -40.2347144548
48.1172981262 -40.6303520716
48.8502540588 -40.7098736359
47.9871749878 -40.3632036284
45.9145774841 -40.3788832036
44.0757102966 -40.2493774994
47.1577911377 -39.8309167625
49.8354492188 -40.2177911495
48.402885437 -40.3140123347
51.6488380432 -40.5377221162
52.4527778625 -40.7203633404
50.5583343506 -40.3674803936
49.819480896 -40.300599718
47.8140830994 -40.1766901935
49.1178016663 -40.4355207658
50.0055198669 -40.3531684197
45.6410560608 -40.4963600895
47.8472976685 -40.0380406681
49.5264625549 -40.4283771577
49.6566429138 -40.7158962786
49.61195755 -40.7472639355
52.1500282288 -40.4977553437
50.6202125549 -40.3735837441
50.0891990662 -40.4590101692
48.3866004944 -40.6056232524
50.1939430237 -40.5007456029
48.0492172241 -40.2351895341
49.2814979553 -40.3321517953
47.9434204102 -40.3906572602
48.6056365967 -40.4194649531
48.8286361694 -40.5719217697
50.2281188965 -39.8400787664
49.6835632324 -40.3378043892
49.4110870361 -40.3035929751
51.771194458 -40.3096713379
53.4162101746 -40.3474388225
53.6288528442 -40.2886011657
52.6681365967 -39.9323422959
52.7044143677 -40.4470915985
54.2396583557 -39.6741663439
52.6293907166 -40.4355868366
52.2530632019 -40.4104522865
50.3066329956 -39.5858906844
46.7562332153 -40.143755366
47.8838844299 -40.2820654464
48.0812339783 -40.2844933553
44.9108505249 -40.3196356825
50.9671554565 -40.439264513
50.7780342102 -40.6588065661
50.0462341309 -40.9405049518
49.4587554932 -40.6885098993
47.6481971741 -40.5566893223
50.3670845032 -40.5700054532
50.4422035217 -40.0134945658
53.2540016174 -40.4014492047
52.1554718018 -40.6584424585
51.2427444458 -40.6269754465
52.6171417236 -40.5343845652
53.2594146729 -40.823786352
54.6935806274 -40.1024799171
53.414478302 -40.0313160007
53.4201126099 -39.8510681837
53.3115768433 -39.5831702439
51.6259918213 -40.0547708683
52.1794815063 -40.1121181274
52.0112190247 -40.1965969777
50.6824455261 -40.4491675046
52.0651473999 -40.0828253438
52.1283111572 -40.1300322453
51.7651939392 -39.8219773082
51.6293945312 -39.8635476146
46.4481506348 -40.6109505514
46.6691474915 -40.5234201633
47.0883560181 -40.1164255904
49.2271003723 -40.1210371255
49.7331504822 -40.6464780424
48.9998855591 -40.3378124618
48.5250282288 -40.5487167528
50.0078010559 -40.3773064898
46.7843933105 -40.7372743911
47.5760612488 -40.3204898528
51.3581733704 -40.4000784813
51.9064674377 -40.2997300207
52.4067687988 -40.026472733
52.3144798279 -40.4215325374
