rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
67.5744018555 1013.93892514
67.0850448608 1012.73418053
67.5151062012 1012.63017166
65.8397216797 1011.83531421
65.8141937256 1011.87910646
65.7942886353 1011.62305803
65.8441848755 1011.71559877
65.6918334961 1011.62701241
65.592590332 1011.55993596
66.1939620972 1011.6418517
66.4251098633 1012.03507735
66.6381912231 1010.70431757
66.1354751587 1010.67345176
66.1817550659 1010.61716972
66.4735107422 1010.7952824
66.0554733276 1010.5971578
65.910446167 1010.4494882
66.3671188354 1010.37870822
66.5796356201 1010.27972094
65.7029037476 1010.02789339
65.9235153198 1009.8966239
65.8106613159 1010.21072689
65.5501556396 1010.04950759
66.2400360107 1010.16550686
66.4236221313 1010.39161252
65.8186569214 1009.84480733
66.6985931396 1009.73726801
66.42137146 1009.66962539
66.9974746704 1009.83056924
66.6234664917 1009.70308358
66.3764419556 1009.73362329
66.5146102905 1010.03947325
65.8608322144 1009.78812247
66.0684661865 1009.78800052
65.8685455322 1009.76797369
66.0715942383 1010.23964013
66.1400756836 1010.03097511
66.692276001 1010.03924917
66.6171951294 1009.88496265
66.8287200928 1010.17580256
66.3517837524 1010.02555171
65.5392150879 1009.74742235
66.2344970703 1009.61304796
65.9578552246 1009.48422016
65.8471069336 1009.74387489
65.7339477539 1009.72173388
66.1412887573 1009.9647423
65.3023376465 1009.73934338
66.1437530518 1009.75203117
65.7145767212 1009.62199562
65.9786682129 1009.88359361
66.5160522461 1009.75318477
66.0424118042 1009.5411551
65.9233474731 1009.46551377
66.0459213257 1009.61641473
65.8672943115 1009.63450871
65.9586715698 1009.31779292
66.2104415894 1009.51106158
65.8518218994 1009.45029332
66.4382247925 1009.51113419
66.5533905029 1009.43873732
66.6145553589 1009.63032153
66.6094970703 1009.48709017
66.0011672974 1009.29289491
65.8011245728 1009.45021138
66.542930603 1009.22611837
66.0382843018 1009.33823296
65.9715118408 1009.2838758
66.0720367432 1009.54287382
66.1448974609 1009.34109697
66.1000518799 1009.53660803
66.4770202637 1009.60100382
65.9497375488 1009.40091954
65.8003997803 1009.84922159
65.9671401978 1009.39243763
66.1791763306 1009.6042357
66.0905075073 1009.28320198
66.0793304443 1009.27270684
65.7999191284 1009.44570317
66.4182739258 1009.51985806
65.9853057861 1009.76628598
66.1483078003 1009.54545197
65.9280929565 1009.54044003
65.5132827759 1009.40091193
66.1721115112 1009.45771573
65.6170501709 1009.41231009
66.1071853638 1009.21300112
66.0872421265 1009.71920341
65.9641418457 1009.48646843
66.1506347656 1009.37950048
66.8117294312 1009.64002807
65.8886413574 1009.29813373
66.1413345337 1009.20614774
66.3143081665 1009.33254355
65.9342193604 1009.26039382
66.055770874 1009.30502251
66.6516876221 1009.27621797
66.4918518066 1009.32786081
66.6569442749 1009.63400011
66.4649047852 1009.69765896
66.474281311 1009.22453154
66.0502700806 1009.56411656
65.9305419922 1009.72767483
66.2820358276 1009.61142527
66.0952529907 1009.45935796
66.1823501587 1009.32724148
65.8822631836 1009.4293055
66.0710220337 1009.37761201
66.0131378174 1009.31224588
66.4217071533 1009.47396434
66.2117080688 1009.37984446
65.9356460571 1009.57769269
65.9440383911 1009.57878978
65.8860473633 1009.47183445
66.6802749634 1009.44416163
65.7624588013 1009.43728905
65.5932006836 1009.70119665
65.9312515259 1009.47074876
65.7839202881 1009.34346613
66.1718902588 1009.36145196
65.5557861328 1009.45466259
65.851272583 1009.41988053
66.2491760254 1009.35504518
65.8829727173 1009.40462228
65.9523086548 1009.4213858
66.4611282349 1009.66224354
65.9825820923 1009.56753773
65.5334320068 1009.12996393
65.0110931396 1008.4467002
65.2577133179 1008.33605801
65.0219039917 1008.38582758
65.2941741943 1008.58742434
65.1154327393 1008.22625055
65.2437667847 1008.45241662
66.1231536865 1008.39123816
65.4577102661 1008.25502582
65.464630127 1008.17431374
65.6070556641 1008.54710145
65.3212127686 1008.48059725
65.4271774292 1008.50478118
65.2244644165 1008.2611241
65.4562911987 1008.44752271
65.297203064 1008.37494574
65.1377182007 1008.36476562
65.342300415 1008.14613214
64.9746932983 1008.25777555
65.3161010742 1008.37233831
65.2236785889 1008.42317709
65.0478744507 1008.32616674
65.3905944824 1008.50666429
65.0684890747 1008.37594581
65.2009124756 1008.23286422
65.0956268311 1008.24503729
65.5401763916 1008.28642255
65.1502761841 1008.37458597
65.2629928589 1008.73722757
65.3170089722 1008.41572192
65.5508499146 1008.43828626
65.2037887573 1008.24881968
65.1437225342 1008.2537994
64.9232406616 1008.03930719
64.9942398071 1008.32566714
65.3990631104 1008.47778964
64.9912796021 1008.18477389
65.7259750366 1008.47558708
64.9734954834 1008.22282682
65.366317749 1008.43843484
64.9606246948 1008.21876479
65.2579116821 1008.42728067
65.2027511597 1008.34890177
65.0165405273 1007.99867914
repacking frequency for this run is 100
67.5000610352 1013.76660458
67.2423248291 1013.14134008
67.6003723145 1013.27580787
67.5324630737 1013.25680659
68.1696548462 1013.59673749
67.9887008667 1013.21317845
67.5562210083 1013.13537374
67.5885009766 1013.17065584
67.8926315308 1013.23766254
67.7633056641 1013.08310524
67.903137207 1013.15874371
67.7083435059 1013.08034847
67.6017684937 1013.14008086
67.5152282715 1012.9763977
67.6428604126 1013.13862145
67.6676940918 1013.35735876
67.3292160034 1013.1599655
67.7431945801 1013.19470784
67.4343185425 1013.04988312
67.5035018921 1013.09819247
67.6937942505 1013.31607341
67.3212966919 1013.1371776
67.2763671875 1013.25348605
67.4114151001 1013.10406963
67.825881958 1013.1114671
67.8066635132 1013.03112122
67.7137680054 1013.17349429
67.8578567505 1013.31144776
67.4097976685 1013.12005558
67.1331481934 1013.30309331
67.0928497314 1013.03224624
67.3795700073 1012.98726746
67.6448669434 1013.0299483
67.2229156494 1013.31743182
67.2120895386 1013.16332408
67.7616424561 1013.22471156
67.5146331787 1012.49461419
67.6126098633 1012.49949056
67.84375 1012.52778597
67.5444641113 1012.30434187
68.0160903931 1012.50338309
67.3698577881 1012.42809176
67.9795303345 1012.49596293
67.2770309448 1012.3838252
67.9003067017 1012.34290893
67.9547576904 1012.32360387
67.362953186 1012.34390689
67.4238510132 1012.41265726
67.5616531372 1012.39056541
67.811668396 1012.58609201
68.0638275146 1012.78520654
67.4674072266 1012.56272703
67.3432769775 1012.61571363
67.4139556885 1012.46070186
67.6774139404 1012.31770402
67.4814529419 1012.31961216
67.5994415283 1012.28312089
67.5226821899 1012.44088479
67.8877563477 1012.66844576
67.7319259644 1012.44382614
67.6920471191 1012.3496908
68.0119400024 1012.42683196
67.7390289307 1012.65608891
67.3270568848 1012.2732877
67.2887573242 1012.46470618
67.5751647949 1012.26085484
67.5078048706 1012.32893545
67.2174758911 1012.75528208
67.2992553711 1012.46848909
67.3968429565 1012.45680586
67.0926208496 1012.38964904
67.7404174805 1012.71325146
67.711479187 1012.38219763
68.2332763672 1012.5416041
67.010635376 1012.57681631
67.709312439 1012.450769
68.0735549927 1012.60767334
67.6041107178 1012.69639577
68.0881652832 1012.46704224
67.4553146362 1012.44069202
67.7782516479 1012.29845517
67.6199111938 1012.95731949
67.5374603271 1012.49969089
67.5427398682 1012.34647797
67.1411590576 1012.63040187
67.740852356 1012.39620762
68.085067749 1012.56076169
68.4516448975 1011.90078394
68.5160064697 1011.91586291
68.6763305664 1011.96413938
68.5673141479 1011.81317036
68.6759185791 1011.80685358
68.5087966919 1011.88000268
68.5337905884 1012.16587853
68.8048782349 1011.79842825
68.5775222778 1011.72741978
68.7495269775 1011.85282394
68.7277526855 1011.97296823
68.6290054321 1011.82808206
68.7253952026 1011.8464552
68.4647598267 1011.69552617
68.5340118408 1011.90548186
68.5565872192 1011.86599472
68.6154251099 1011.86664428
68.5015792847 1012.08847977
68.6860046387 1011.90958587
68.5484848022 1011.88667044
68.7596130371 1011.99186584
68.39453125 1011.84100453
68.6877593994 1011.81326635
68.5970611572 1011.81202107
68.6765441895 1011.76218773
68.5955734253 1012.04421165
68.674446106 1011.94917766
68.590675354 1011.81943192
68.6385498047 1011.88649418
68.5636367798 1011.90272562
68.7068862915 1011.92926957
68.6781921387 1011.96740858
68.6414718628 1011.81180835
68.680519104 1011.72572575
68.6881103516 1011.84854488
68.6959762573 1011.8546381
68.7234191895 1011.7770304
68.5352630615 1011.84313094
68.7205734253 1011.7711098
68.7298049927 1011.91635064
68.7202224731 1012.06051594
68.7245559692 1011.92776881
68.6918563843 1011.90705434
68.6251144409 1011.76572438
68.646232605 1011.8323893
68.7167129517 1011.82084434
68.5845794678 1011.72326934
68.5584869385 1011.82638185
68.552772522 1011.86370448
68.6241073608 1011.8279267
68.7633743286 1011.94516219
68.6986618042 1011.8991683
68.7097167969 1011.96355642
68.5577697754 1012.01240683
68.6583709717 1011.81905757
68.6883010864 1011.85845214
68.6857910156 1012.09969265
68.6229553223 1012.14599421
68.7218170166 1011.92931564
68.5835266113 1011.98155819
68.7100296021 1011.90036442
68.7608413696 1011.90851238
68.5979537964 1011.85753976
68.8266372681 1012.0495075
68.5103530884 1011.80975421
68.6002807617 1011.7559127
68.5701980591 1011.83171634
68.5459671021 1011.78218733
68.4338302612 1011.9537781
68.7232818604 1011.92212345
68.6760787964 1011.80871472
68.5028686523 1011.94869398
68.7662963867 1011.84534666
68.7872848511 1012.11187221
68.5676803589 1011.85379266
68.7381591797 1011.76804466
68.6390457153 1011.98798709
68.6677703857 1011.7723991
68.2403030396 1012.11302018
68.632232666 1011.84988536
68.6221008301 1011.91509407
68.7381362915 1011.92008996
68.3550643921 1011.89919676
68.5857315063 1011.60290469
repacking frequency for this run is 1000
68.5697555542 24980.5797301
66.9508056641 24382.8417501
66.1637115479 1012.79672821
66.4295806885 1009.720797
66.6711883545 1008.95241907
66.7975769043 1009.04213063
66.505531311 1009.07806529
66.7165603638 1009.00278897
66.9833145142 1009.05641615
66.7995223999 1009.07969411
67.0106124878 1008.96829871
66.9487380981 1008.80965966
66.7616271973 1008.77154287
67.149559021 1008.84869815
66.7382888794 1008.81693006
66.8201293945 1008.78885588
66.6053237915 1008.92927439
66.9668807983 1008.88882514
67.1620178223 1008.8388895
67.2072677612 1008.90138414
67.2082366943 1008.97402723
66.8456192017 1008.96072961
