rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
66.7345733643 667.970173814
66.3812866211 532.671346154
66.1994247437 531.281821574
65.4793243408 531.02210889
65.7791748047 530.683803005
65.6652450562 529.593622206
65.5667953491 529.624282642
65.3240509033 529.598000066
65.5427246094 529.530124919
65.5319366455 529.35101597
65.3413314819 529.083189237
65.4218978882 529.03099623
65.4720687866 529.120293784
65.4637908936 528.54657531
65.4537124634 528.506909634
65.5482177734 528.63261468
65.3760147095 528.08228119
65.324508667 528.092179719
65.3207931519 528.058918018
65.4055252075 528.066566738
65.5218811035 528.019713639
65.5055999756 528.221768804
65.3614807129 528.109612026
65.5302810669 528.104453187
65.2816848755 528.006062065
65.3263778687 528.090392373
65.5704803467 527.911154138
65.4804153442 528.141383166
65.5272293091 528.059667297
65.303604126 527.981809592
65.4762191772 527.989593141
65.4982376099 528.235842069
65.5924911499 527.980497249
65.5544052124 528.01308573
65.3422622681 527.865377938
65.4873199463 528.118920525
65.3246994019 528.03249563
65.5668640137 527.971747234
65.2543945312 527.915855914
65.3639450073 528.102380808
65.7030181885 528.221604693
65.6668701172 528.072592238
65.2998275757 528.110069939
65.595375061 527.989705298
65.4774856567 528.024817801
65.5406951904 528.252644886
65.6335144043 528.15549898
65.6164855957 528.304391128
65.6381149292 528.21478094
65.686706543 528.060521899
65.6223144531 528.259354836
65.6187133789 528.135272565
65.3882904053 527.954287282
65.4296951294 528.032032978
65.4380874634 528.030553152
65.5335235596 527.985848335
65.5205383301 528.130742496
65.5204544067 528.070653989
65.6439056396 528.324388087
65.4961166382 527.962289057
65.549079895 528.138597099
65.6389007568 528.115400072
65.3676681519 528.014213784
65.4516983032 528.097912596
65.6139678955 528.168981969
65.535484314 528.127196418
65.265914917 528.001980688
65.1675949097 527.879127571
65.3849334717 528.266329829
65.372718811 528.006515774
65.6772918701 528.0678561
65.3531341553 527.971172494
65.378578186 528.025613961
65.3662719727 527.882599925
65.5954055786 528.076081157
65.2646255493 528.059934722
65.5208969116 528.015490761
65.4803009033 528.121740703
65.4065704346 528.129099629
65.575668335 528.46491971
65.5335845947 528.029704262
65.3480606079 527.955249091
65.5324020386 528.037140132
65.4202270508 528.128397639
65.5274658203 528.26300392
65.5075454712 528.019763109
65.2238082886 527.903202298
65.5604782104 527.93827462
65.4245834351 527.963032894
65.3580245972 528.049797394
65.5091171265 528.049523158
65.3520202637 528.12110517
65.4599533081 528.105601916
65.5738449097 528.312298281
65.3096313477 527.917878725
65.5114212036 528.007595426
65.4199523926 528.10061074
65.3440704346 527.914014416
65.2389221191 528.014220155
65.4217681885 528.035061864
65.3819122314 528.113129553
65.5060424805 528.349085948
65.4599761963 528.16705831
65.5847473145 528.111516304
65.5530319214 528.229632037
65.3710098267 528.056812987
65.4066619873 527.939299299
65.411277771 528.206474365
65.1952056885 528.063187446
65.4858779907 528.269019178
65.4726486206 528.208078721
65.1923980713 528.126053731
65.3880844116 528.124964756
65.0311431885 528.258365411
65.3096008301 528.195417222
65.5502700806 528.081267726
65.5154647827 527.970543331
65.4770736694 528.006463296
65.5188980103 527.929833017
65.3616256714 527.891108402
65.3135452271 527.944713962
65.4257659912 527.996278327
65.5919342041 528.086121991
65.6548690796 528.294137997
65.4582061768 528.102372296
65.6657714844 528.182816388
65.4084701538 527.974942944
65.4123687744 528.278234493
65.4986419678 528.011214631
65.4612579346 528.043237629
65.4500579834 528.101489369
65.6150512695 528.264889821
65.2739868164 528.04886515
65.4124908447 528.029473197
65.4249267578 527.957154522
65.358001709 528.062815392
65.3580245972 528.116070964
65.7407836914 528.031608899
65.2642593384 528.055605998
