rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
85.7699584961 949.828289501
81.7250289917 723.093078072
77.0433807373 623.797524009
75.6145401001 515.25689538
74.2479934692 426.024705491
82.6807785034 333.082821637
80.9901885986 207.555951556
78.1022186279 144.409737212
76.6215667725 52.002650961
69.9744873047 -13.6570534648
65.0257034302 -35.1801023743
63.5867729187 -36.762876929
57.9471511841 -39.0090497948
59.133518219 -40.1854523163
54.4023933411 -40.6109466617
57.1222724915 -40.5750874802
55.3811340332 -40.6680306761
55.2355613708 -40.1930655913
54.7344169617 -40.9215810827
49.7567329407 -41.8492385819
60.4957962036 -42.0724266098
60.5333175659 -42.3535058449
60.2301597595 -42.6355433483
64.2507476807 -42.7988396213
56.6248397827 -42.7097696654
58.4656181335 -43.8789263008
53.4516677856 -44.0555367651
53.0916557312 -44.5827656208
50.0088043213 -43.9588146567
49.2667350769 -45.4365946726
46.0653610229 -46.3303026935
47.4765396118 -46.4183778128
47.7729034424 -46.5019543358
46.9181594849 -46.4284628356
52.0755691528 -46.3597750898
49.8160400391 -46.3904343586
45.6843910217 -46.2662091842
46.7570800781 -46.6593713561
43.7535667419 -46.478131131
46.3346595764 -46.1493017951
46.1167602539 -46.0234109857
48.6009597778 -47.6206656319
42.5742645264 -47.4017948477
43.6245002747 -47.3382430346
43.4568252563 -48.4998156053
41.5343132019 -48.9807036821
41.1345062256 -48.8630684871
44.8433265686 -49.7714967311
44.9483413696 -49.7805192175
41.8453521729 -49.2913603673
48.9381637573 -49.7531870788
44.3893814087 -49.974466909
47.1292800903 -49.6467629686
41.5974617004 -49.3183644291
44.6204528809 -49.78162389
46.9257354736 -50.0063561711
44.0553627014 -50.2142463653
40.3452987671 -50.0108253303
38.7983703613 -50.14459927
43.9128570557 -50.5266913433
46.5433731079 -50.0751387385
36.1849555969 -50.0880348644
41.0683364868 -50.346883453
36.2315979004 -50.3755093904
37.0179328918 -50.4003927404
36.4976272583 -50.0154778329
34.8972015381 -49.8011931082
39.0587844849 -50.1526049586
