rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
78.3923034668 452.975752417
79.4690856934 358.654084582
74.6327133179 271.845675572
72.2743682861 177.762056516
66.030380249 110.141993739
65.6809158325 30.2451735898
59.9263877869 -19.3399067621
56.9224205017 -37.1743299236
59.2511863708 -37.3116965589
58.0282096863 -39.4210302492
59.4280700684 -40.6920884478
55.5991401672 -41.7003098876
55.6293182373 -41.4984743492
59.2177581787 -41.8747188749
59.1800804138 -42.4239056214
56.2395820618 -42.372207772
53.5041313171 -42.2444392127
55.4206466675 -42.3362855326
58.4067306519 -41.990333684
56.7552185059 -42.0062662347
51.6982574463 -42.5695054183
51.5387763977 -42.7850305999
51.4369735718 -42.8684538425
49.6758308411 -42.987424151
49.8390197754 -42.8804234043
46.6750183105 -42.993161168
47.8508071899 -42.5842649046
44.1630363464 -42.8494718893
46.267791748 -42.7125898436
43.897895813 -43.1322582102
48.9349975586 -44.0640861559
46.6534957886 -44.0270384222
49.6096992493 -43.8472026442
50.6671905518 -43.6247127266
49.4787750244 -44.0057881195
49.7611083984 -43.8328157889
51.5945663452 -43.890211855
45.9314498901 -43.8534018299
45.0236968994 -43.9354323352
45.3061141968 -43.7293845061
47.2122650146 -43.6481922877
47.3898620605 -43.7096062088
47.7745780945 -43.6912416865
47.1371650696 -43.8178066255
47.8832893372 -43.5254656989
48.19190979 -43.6995575729
43.7858352661 -44.2841690063
44.1807975769 -44.029008241
45.6554450989 -43.8496547922
46.6482048035 -44.1171940661
44.9085235596 -44.1851917971
46.7601661682 -44.2647028633
48.4450531006 -43.7057833249
48.9292755127 -44.0990190204
48.9034156799 -44.2241800978
49.8091011047 -44.3030879057
48.3022689819 -43.9392615371
44.2197036743 -43.8602417697
46.844833374 -43.936191617
40.4418029785 -44.1382142747
41.401058197 -43.6093948496
39.5107727051 -43.8917307053
39.9417686462 -43.4838215006
42.0641670227 -43.2705923829
39.4762649536 -44.0907680758
38.308429718 -45.0956976831
37.0718421936 -44.7049268297
39.7015800476 -44.5272172181
42.8846168518 -44.8895193403
42.3356323242 -45.0409009051
41.107219696 -45.1718711224
39.5635070801 -44.9129117574
37.4838981628 -45.0555623882
34.6590766907 -45.4862216964
33.222618103 -45.1213724225
32.3179893494 -45.29557889
32.2605705261 -45.604726951
30.9083766937 -45.7391960856
31.0798130035 -45.5417354156
30.4215450287 -44.9464574982
30.0475292206 -44.086388616
28.1969776154 -44.5665602923
28.5584812164 -44.3832223182
29.8450984955 -44.221552817
30.9126338959 -46.6520035824
29.8925628662 -46.8959566918
26.407365799 -46.9411616183
25.3586807251 -47.9672798714
26.3393993378 -48.2640704843
20.7423782349 -46.5872967483
23.7569923401 -45.2312018562
23.6875076294 -49.4205578027
26.2187137604 -51.5808016752
23.4140605927 -52.1771205281
23.0268955231 -53.1552545133
24.688293457 -53.5310009966
22.8766956329 -52.6867356596
22.4571361542 -52.9052506389
23.1891937256 -49.7195684283
25.1558628082 -52.7025779917
22.7345466614 -50.9637099333
22.394733429 -49.7104675559
23.8511676788 -50.1962733979
23.8375530243 -53.1671247802
25.1205558777 -53.0676953704
24.1683578491 -53.8165254245
27.9077358246 -53.9993318256
25.172712326 -51.755098667
23.4283237457 -51.9253913522
24.5565471649 -53.5293433638
22.6557788849 -54.6690420206
21.516708374 -51.1245300603
20.3075656891 -50.829681299
20.210231781 -53.884383203
19.4368782043 -44.5063028596
20.6919155121 -48.9475618851
20.5430049896 -50.4610267451
19.9753074646 -47.1789587711
19.4819202423 -50.6801468102
19.2865409851 -48.4311162122
19.3511009216 -47.9375721226
19.6795940399 -52.3978638089
19.6034603119 -52.4823392309
18.1919555664 -55.4573962471
18.7196083069 -55.2963352208
19.0727958679 -54.1700354623
19.9941329956 -56.246267462
19.6244678497 -51.8159697452
18.5829277039 -55.0430743449
19.0922966003 -55.422802799
18.619890213 -55.918182536
18.8404941559 -56.0782943416
19.1549663544 -53.0155999977
18.0100402832 -51.1784759221
18.3557453156 -53.7002804757
18.4462890625 -47.984814084
19.4456806183 -56.3369209528
20.8540878296 -54.659128741
18.5814609528 -53.19412741
19.8883209229 -57.0018315558
21.2014789581 -57.4776265584
19.5708332062 -58.3752023086
19.6787605286 -59.0024674406
21.6510410309 -58.6357787561
21.5811443329 -59.8754971904
21.6356296539 -61.1288262022
22.6842384338 -59.8005094499
23.9965019226 -59.6495317662
21.9073543549 -60.4068993482
21.8691673279 -61.0152060908
20.7211284637 -59.8297000364
20.4757137299 -60.5268243654
21.0173282623 -60.7888760617
22.2604598999 -59.1479571791
21.0354042053 -59.6638118805
24.0304450989 -60.3726188233
25.5524463654 -59.8464787434
25.8355922699 -60.9841509791
25.4556179047 -60.7388030702
26.3378047943 -59.7277612809
24.5719566345 -62.7949605222
24.4765548706 -62.2099722407
24.5677318573 -62.6164797763
24.1632614136 -61.3694546261
23.454826355 -63.9619586859
24.748041153 -64.1178767636
24.3062496185 -63.5756042135
23.4651508331 -64.6975347034
23.9960289001 -65.5826601276
rmsd best score this run is -65.5951404686
rmsd it has a RMSD of 24.103807449324.1038074493 -65.5951404686
repacking frequency for this run is 100
80.0247192383 565.330146735
76.8254241943 427.724399315
76.6433563232 301.486024338
74.8395385742 228.925597086
63.7864265442 156.873784761
64.1229934692 37.9536112596
61.2649993896 -35.3460600715
59.4777259827 -39.185023314
60.1400032043 -39.5533740876
50.5021018982 -42.6405739349
49.5497398376 -43.2320902879
51.4616127014 -43.4396887054
53.249332428 -43.423915453
51.0667991638 -43.4829890207
44.5324630737 -43.7175444974
38.5539894104 -43.9068375778
38.4511909485 -44.2150697775
38.0652961731 -44.0202249576
41.8891487122 -44.0076061736
44.2272796631 -44.0843771491
43.1419334412 -44.5830214149
45.8268165588 -44.2370760988
44.309715271 -44.0360579693
44.4876556396 -44.391024281
44.6319999695 -44.3471740603
41.4111671448 -44.1733045828
40.8558425903 -44.4022154894
39.3073806763 -44.3304292685
35.7338409424 -44.5515776388
33.434425354 -44.5530224451
35.9705924988 -44.6837553819
34.7074050903 -44.572038372
34.4760704041 -44.4243433685
30.0314006805 -44.4629352315
29.1079864502 -43.9681448272
29.3466758728 -44.1216066715
27.8607845306 -42.4739177444
29.6166782379 -44.1078796005
29.0598640442 -43.7394064349
26.819152832 -43.1104829454
28.3494968414 -44.3421190706
29.3372764587 -42.9856682701
28.6092281342 -43.3112058016
30.2803497314 -43.5989393698
29.8894615173 -43.7376200948
28.9768180847 -43.8966785318
28.7857170105 -43.8737286489
27.5191516876 -44.0623413306
28.4039592743 -44.3825328695
28.7184352875 -45.030965622
28.2961921692 -44.450451789
28.0743904114 -45.1267755613
27.5107574463 -45.4426973742
28.541431427 -44.5549611881
28.6476154327 -43.8007535704
28.7406635284 -44.0638566706
29.5270595551 -45.5573221515
29.733423233 -45.2510086077
30.2102413177 -45.3545663078
28.5353603363 -47.0793668392
28.0774078369 -47.0300165129
26.6743450165 -48.7793883443
27.1912326813 -48.696916735
27.1909313202 -49.416176437
27.6447696686 -48.7261198244
27.268157959 -49.4420979633
25.9682121277 -49.7892578964
26.659368515 -48.9975269717
26.5002422333 -48.6092991519
26.4521121979 -48.6003799371
27.1414718628 -49.2258823633
24.7353610992 -49.186227315
26.2193870544 -49.6475785356
25.5922031403 -50.3425330153
23.5219841003 -50.0756189372
22.199464798 -49.9151584726
20.2213382721 -51.9783039806
18.7168216705 -48.3420752331
20.3313903809 -46.1778663733
22.0547542572 -49.3590267697
20.1228809357 -50.4723495856
21.4971446991 -49.90278598
22.2704620361 -52.8500544152
22.0961380005 -52.7192453548
21.5642089844 -52.2993672475
20.2874393463 -52.142203783
19.3196048737 -52.4363344793
18.5787334442 -52.8866805523
19.6481456757 -52.1728223035
20.2067546844 -52.7408209737
18.5679550171 -53.0498864223
19.7224559784 -52.1012339914
20.1625576019 -52.9441699624
21.7408905029 -51.8030880289
25.0017967224 -51.7191007747
22.170791626 -52.6941368239
22.6891918182 -53.1474617221
23.0294971466 -52.8034472897
23.0170326233 -50.9963540334
23.8701686859 -51.2666825511
21.0570449829 -53.2962668133
21.305973053 -51.4155908056
21.7484149933 -54.4112967386
20.7758903503 -52.3695137513
21.3460903168 -51.6053742063
20.9349422455 -49.8887484215
21.5129051208 -52.658397134
20.7172451019 -53.8365595882
21.9837093353 -51.7254674098
21.7804698944 -49.5395984057
21.3141040802 -49.9104005555
22.2114238739 -49.4799597117
21.4944400787 -50.2528183797
21.934217453 -51.7538922912
23.1564922333 -51.3135954974
23.4214191437 -53.3892587921
23.0543823242 -51.9226756989
23.0474948883 -52.4491604598
22.7777366638 -50.5645426505
22.651386261 -52.6798885593
22.1869297028 -52.2024451817
22.120759964 -54.0696994036
22.3182945251 -52.2604919485
22.1940994263 -54.7741320668
22.4006023407 -52.2672481019
22.2679138184 -53.705553422
21.4412689209 -53.8368307692
21.7296085358 -52.8471683116
21.285484314 -54.6688538224
22.3457794189 -56.3480005812
22.6893672943 -57.1172548759
22.4265384674 -56.1973459325
22.9757480621 -57.637960683
22.47108078 -56.4845738771
22.753824234 -58.7555071603
22.159526825 -57.8166082141
22.8976268768 -56.3525368748
