rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
98.0034637451 884.350649967
95.0663223267 749.749012768
87.5473937988 616.782450439
88.9571151733 510.12509004
94.4061737061 436.01879582
82.6002349854 314.294534402
68.4185638428 184.731238268
68.5626373291 68.6806225421
75.7696304321 -20.1276074795
84.1520462036 -39.8885482782
84.8092880249 -40.4973454552
83.1579818726 -41.5360602324
81.2750701904 -42.2880280458
77.5816268921 -42.9809655258
73.6101226807 -43.9184038747
72.4663925171 -45.6963291894
65.9064865112 -46.047530585
73.9240264893 -46.0795895829
66.1300506592 -46.4825546467
61.5522079468 -46.6536234111
60.8484420776 -46.6852867445
60.0279960632 -46.2370190678
53.2476882935 -45.9779459035
62.8208007812 -47.2496360515
65.3670120239 -47.2917133608
62.7564163208 -47.2144939703
56.5506629944 -48.4318190748
50.1735191345 -48.5197966569
59.7461891174 -49.0182175906
69.5558013916 -48.6343821841
62.3898925781 -48.166248626
56.7535552979 -48.3768778678
57.966342926 -48.5546983089
49.8238716125 -48.776225674
54.4375267029 -48.1059459136
59.4987297058 -48.3070451386
51.8916893005 -48.3787844989
63.2253761292 -48.6211608064
64.4009170532 -48.8234633324
59.6529045105 -48.5568843195
58.1021537781 -48.2977710102
58.4711532593 -48.3863184942
55.5870628357 -48.4734897664
63.4460411072 -48.9250143378
56.2513275146 -48.720481077
54.031791687 -48.8265033717
52.3228340149 -49.1502086805
58.3687438965 -49.0576302798
57.2929840088 -48.8966388257
61.2632255554 -48.8799679891
59.5507125854 -48.8203149477
61.8306503296 -48.7050763814
59.9719619751 -48.4662084123
62.8801765442 -48.7780350067
56.4733695984 -48.27606675
44.6439323425 -48.1614834821
48.1188011169 -48.6331015408
53.9169998169 -48.9680832501
56.662361145 -49.0316713967
61.7176971436 -48.8905797047
59.6683082581 -48.4952573444
58.1432113647 -48.4363935005
59.1845474243 -48.7496353893
50.3906173706 -49.0549863686
48.0153312683 -48.7052845142
47.5988235474 -48.9493259153
49.2254219055 -48.427153129
58.0165481567 -48.8313791345
66.03515625 -48.6571752112
64.5390548706 -48.9212810062
57.5380821228 -48.9853396582
56.1568984985 -48.6923588959
62.6868019104 -48.6952262917
56.2938079834 -48.7953485708
59.4462738037 -48.803348517
58.2123451233 -49.034130036
53.6569824219 -48.656787117
56.3142814636 -49.0411271908
54.1344642639 -49.3905356058
62.1359939575 -49.094447692
62.6887016296 -49.2857796419
66.5701370239 -49.1353328107
67.8677520752 -48.988745546
66.9726486206 -49.450657667
72.8119354248 -49.750261299
67.8966293335 -49.3830888385
68.8794708252 -49.6007093214
74.5227737427 -48.9777188049
75.8198394775 -49.5721610461
70.8977127075 -49.4966321213
65.0205383301 -49.6669242816
69.7325439453 -49.4692046245
70.3258743286 -49.0503171821
62.2396240234 -49.1768329037
64.2554016113 -49.7258790288
64.2673721313 -49.1623206148
71.976600647 -49.1048849126
74.4186706543 -49.5363829641
77.3927078247 -49.5110497072
71.0114746094 -49.1197916314
67.3305969238 -49.3439752829
73.3517456055 -49.3375310456
69.6300582886 -49.2462470092
67.7446060181 -49.4831045556
64.4964447021 -48.9170206231
60.3307952881 -48.9129976096
62.6076698303 -49.5012072854
60.340549469 -49.523929853
61.4725036621 -48.934385179
60.6846199036 -49.4122877851
59.8653945923 -48.8843337387
65.1777572632 -49.2235426216
63.5441398621 -49.4570020114
61.7712593079 -49.3690525647
64.325553894 -49.4196405263
64.8777160645 -48.9560324378
65.0457077026 -49.1929788471
66.4898986816 -49.3562981016
67.1385421753 -49.5547671351
73.934753418 -48.6068893161
66.3475952148 -48.4676412548
69.3566818237 -48.385936681
61.4695053101 -48.5817785633
65.3319396973 -48.7315925696
63.6417694092 -48.7586478187
66.6537628174 -49.0598328951
61.2200202942 -49.2099349309
58.1722640991 -49.3192267597
66.7804489136 -49.2704397222
63.2507362366 -48.8844694641
57.8723754883 -48.4495266143
58.9159812927 -49.1239938591
55.3970527649 -50.0356209118
57.8786125183 -49.7763143425
61.6281166077 -50.0291858427
62.8375282288 -49.7674429037
62.3004455566 -49.8437829067
64.5363082886 -50.2570221886
57.9456062317 -49.796055543
54.7932929993 -50.140557691
53.5921821594 -49.7181334586
55.004989624 -49.5454686125
60.4693527222 -49.9978285963
61.3933563232 -49.8268254803
51.8565254211 -49.8849673663
59.5690231323 -49.7360431066
51.0971946716 -49.8934979855
44.0343666077 -49.8450951722
45.6568641663 -49.846694065
47.8063392639 -49.8876721673
47.0270996094 -49.4793229983
41.2110824585 -49.6434123208
49.1277008057 -49.4800437876
51.1843299866 -49.8217937732
50.5909423828 -49.0386306478
53.9309539795 -48.8825269142
50.9112052917 -49.8326136202
46.0392036438 -50.488006553
