rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
45.6961479187 212.315255043
25.7490215302 144.448297731
23.9741363525 123.001314819
23.417755127 120.643301006
23.0244808197 116.055073913
22.8368797302 112.475660283
22.8579769135 113.283459719
22.79413414 110.441807436
23.2822952271 111.284244011
23.0863399506 107.501607167
23.2810668945 110.421456426
23.1985816956 107.103845362
23.511051178 107.497046686
23.5018081665 106.98688368
23.5394954681 103.918724666
23.0471382141 107.124831295
23.5648574829 106.968627308
23.342086792 100.690880026
23.484210968 97.9670113414
23.7618560791 97.8575083594
23.5414924622 97.7850454915
23.6955184937 91.6528747075
23.7897186279 95.4165835519
23.5210762024 92.3251016897
23.7958164215 97.280652769
23.794418335 105.457665746
23.9208126068 99.6036972912
23.4851722717 95.8073809508
23.7622089386 100.262648417
23.4390144348 94.9334857128
23.8989295959 98.2576926977
23.6080036163 97.0637560486
23.6626014709 98.2623189635
23.2179832458 95.4375452959
23.1710796356 98.1145496015
23.3880405426 96.484363538
23.348772049 94.0342327701
23.4083461761 98.3774900589
23.6255817413 98.6697606395
23.5235099792 100.175070763
23.8128700256 97.2954517129
23.5066738129 99.3549388446
23.5954914093 95.3115471505
23.4140739441 90.875419809
23.5606880188 93.4580108783
23.9264030457 97.2647248698
23.7039489746 96.1496540712
23.6000766754 93.7881248267
23.8553981781 96.5075654483
24.2195701599 100.169053455
23.7574176788 97.4185153343
23.6289520264 100.251505165
23.6692848206 99.2034381385
23.2472190857 92.8496735326
23.5111618042 94.095409871
23.6004142761 97.7970235069
23.6763954163 101.180794967
23.9492073059 96.9466239099
24.0590019226 98.3163659802
23.8574390411 98.2007530524
23.734046936 102.049111138
23.7814769745 103.923796366
23.8183345795 104.968197071
24.0219097137 104.894211285
23.9135856628 105.159555867
23.8642139435 105.183031859
23.8996257782 106.139871647
24.0419654846 108.893995127
23.9193572998 109.729990741
23.7281246185 103.943224874
23.839017868 104.387590786
23.4886875153 104.336948109
23.3787326813 108.935006834
23.5505523682 108.029724805
23.1654129028 110.191882151
23.3052482605 109.148138029
23.4318447113 102.725274644
23.4860610962 111.245158613
23.9941082001 103.334756552
24.1152057648 101.810133361
23.9406280518 100.569618246
24.1224899292 100.041528398
24.3283901215 98.3976636545
24.4264907837 100.285732435
24.5158100128 103.662298987
24.5198459625 102.494910931
24.4440841675 103.398462357
24.7695598602 105.254533613
24.540807724 107.096475898
24.4290275574 100.643402966
24.4124145508 102.260713131
24.6045150757 103.513080304
24.7877883911 104.024498901
24.8463897705 104.056766021
24.6634235382 104.085849306
24.6381034851 104.047043621
24.7208499908 103.092289681
24.53099823 108.633907087
24.5480747223 104.686902426
24.1457691193 101.421327933
24.5368270874 102.697697356
24.3106117249 101.037947734
24.0757446289 102.610938011
24.2181110382 100.273812461
24.0635967255 99.9300293864
24.1263370514 100.264846571
22.7713680267 97.2376726838
21.8725337982 95.405381382
22.6976051331 90.8086704108
22.6959133148 94.4280876312
22.9290008545 94.4942015741
23.2565326691 94.9126430497
22.9739608765 94.5155355285
22.9858341217 92.0633201063
22.6505470276 95.1408496964
22.378824234 92.2645656055
22.5355396271 91.6132541967
22.7103271484 88.7439207732
22.8484802246 95.8508572759
22.6460380554 88.4827894149
22.564956665 90.0353439267
23.1698360443 93.7305403877
22.9662723541 88.774615284
22.9320030212 87.0276545033
