rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
43.6710014343 251.205812193
41.3493118286 241.423730948
41.292427063 240.83622491
41.2703742981 240.682678992
41.2742042542 240.796516712
41.2957305908 240.794864603
40.8756942749 239.217195768
40.7892723083 238.316297225
40.6138420105 237.263110138
40.625743866 236.973923398
40.6250305176 234.316774542
40.6463241577 234.299874092
40.6401329041 234.217462034
40.637462616 234.393261041
40.6162948608 234.282715262
40.6170463562 234.172276799
40.6390304565 234.367930919
40.6521186829 234.640128956
40.660823822 234.602434916
40.6486434937 234.40026386
40.6385421753 234.725734702
40.6255645752 234.483701013
40.6224365234 234.477785218
40.6100692749 234.148157806
40.5965919495 234.010013463
40.6010551453 234.082797372
40.5929031372 234.078179
40.5967292786 234.26491786
40.5787010193 233.763875775
40.5892524719 233.631660216
40.5693435669 233.482696729
40.5661087036 233.328139242
40.5718078613 233.553729038
40.5912742615 234.101621041
40.6352310181 233.601074017
40.637714386 234.332840456
40.6273727417 233.673496065
40.6088562012 233.485045726
40.6139793396 233.904056612
40.6427841187 234.76056517
40.5735397339 233.400108728
40.5765953064 233.427468588
40.5872917175 233.532034707
40.5836372375 233.242100629
40.5448379517 233.214430176
40.5655860901 233.25914069
40.5486869812 233.027502459
40.5583992004 233.196040005
40.5622634888 233.199027612
40.55991745 233.330798144
40.5623283386 233.43549595
40.5605545044 233.447482173
40.538066864 233.294414886
40.5342483521 233.05607879
40.5331535339 233.095849151
40.5311698914 233.065559062
40.5613899231 233.281258384
40.5449447632 233.137045116
40.538433075 233.081620968
40.581615448 233.27268977
40.5849685669 233.020841206
40.5901222229 233.157010527
40.5913467407 233.307376124
40.5943527222 232.992216129
40.5740585327 233.251424384
40.5880699158 233.030689533
40.5432929993 233.596351719
40.5803108215 233.118918906
40.5929222107 233.08801464
40.6044082642 233.379503486
40.6072731018 233.47235831
40.5857467651 233.233114797
40.605884552 233.217087183
40.6205253601 232.854209125
40.6207237244 232.77695532
40.6198654175 232.696017977
40.6298561096 232.594158309
40.6069908142 234.421517907
40.6068077087 232.901934434
40.5889625549 232.533915145
40.5917510986 232.376167624
40.6249961853 233.949261178
40.5571861267 233.09425266
40.5877151489 232.700652457
40.5901679993 232.792517755
40.5566368103 232.859683304
40.5638847351 233.228784686
40.5599555969 233.273509939
40.5915527344 233.072956392
40.569393158 232.834008127
40.5615882874 233.002483133
40.5830802917 233.652446073
40.5623207092 233.354957869
40.509563446 233.160297802
40.5282173157 233.028030885
40.528263092 233.033856712
40.5463066101 232.945568318
40.5538520813 232.702808114
40.5573577881 232.637056031
40.5856704712 232.267040263
40.5782546997 232.953725307
40.564289093 232.453326441
40.6025848389 232.093482858
40.5672340393 232.561696819
40.584148407 232.785353621
40.5829925537 232.863927765
40.5718803406 232.384551127
40.5647468567 233.04940536
40.5584068298 232.090010436
40.5627861023 232.491890373
40.5592918396 232.806785933
40.5528678894 232.632448294
40.5797538757 232.338845293
40.5740356445 232.803909543
40.5678520203 232.552239169
40.5575447083 232.630997875
40.5676422119 232.597870548
40.547328949 232.566733339
40.5495643616 233.07601582
40.5436820984 232.761025314
40.526889801 232.519800907
40.5258255005 232.038996127
40.5276451111 233.165573308
40.5330505371 232.863594804
40.5330276489 232.667539566
40.5320129395 232.402444315
40.5372314453 232.305238072
40.5384941101 232.073748725
40.5289573669 232.434089551
40.5246047974 232.26114545
40.524684906 232.524670741
40.4953460693 232.154700167
40.5116996765 232.308676981
40.4503707886 231.939278594
40.445690155 232.175058212
40.4506645203 232.196658589
40.5108833313 232.227110214
40.4815826416 232.00148741
40.4749679565 231.95804862
40.4919090271 232.026608898
40.491027832 232.078991069
40.4863433838 232.364678745
40.4608421326 232.212006939
40.474193573 232.293432437
40.4586486816 231.887379881
40.4229621887 231.930616277
40.43983078 231.98036291
40.4402503967 232.190009832
40.436466217 232.299005085
40.436340332 231.958893441
40.4291114807 231.889018293
40.408908844 232.018011206
40.4277839661 231.94435616
40.4296875 231.892950487
40.4195785522 231.845764485
40.4301643372 231.941267842
40.4629669189 232.085319746
40.4484901428 232.035675785
40.4483299255 231.959188043
40.4743041992 232.051336055
40.4977340698 231.596633889
40.490447998 231.947665184
40.4981651306 231.820510986
40.5011749268 231.620591194
40.4563941956 231.98684087
40.4685707092 231.443397112
40.4582061768 231.671613911
40.518081665 233.540460789
40.4774208069 232.114143658
40.4657592773 231.199810403
repacking frequency for this run is 100
41.7256202698 244.071506992
41.4302711487 242.43373622
40.9693832397 240.538467514
40.682723999 239.20399944
40.6765785217 239.146783154
40.667263031 238.447710434
40.6626968384 239.208500337
40.5365638733 238.100849685
40.5910224915 237.868216808
40.6020774841 236.597426422
40.5913581848 236.63731321
40.5848617554 236.449825661
40.6986999512 234.655145826
40.7179756165 234.435196274
40.6331443787 232.97078992
40.6544799805 232.570830939
40.6323776245 232.58143015
40.6338272095 232.353811886
40.6305389404 232.035485804
40.6283073425 231.958396419
40.6427078247 232.442968169
40.665397644 231.943808454
40.6768455505 231.990304317
40.6724281311 231.689796613
40.668346405 232.039551041
40.6652870178 231.803674531
40.6513214111 232.43787245
40.6505775452 232.260743031
40.6120452881 232.055167392
40.6499671936 232.032828039
40.6194229126 231.988280432
40.6140632629 231.935852694
40.6083068848 232.049294191
40.5968360901 231.817646787
40.607875824 231.873098184
40.5942955017 232.021548584
40.5860214233 231.678282251
40.6061096191 231.899508804
40.5970497131 231.842462156
40.5907669067 231.5638676
40.5817489624 232.061815127
40.5882377625 231.881370159
40.5792045593 231.832333887
40.5730895996 231.913424327
40.5822143555 231.675949441
40.5850982666 231.919594541
40.5598640442 231.556026788
40.5823745728 232.010655691
40.5753631592 231.812114468
40.5545845032 231.380373441
40.5427627563 231.41390255
40.5778121948 231.795807017
40.5781021118 231.532811129
40.5828475952 231.799092646
40.5755653381 231.75362798
40.5747108459 231.559034365
40.5632781982 231.678604547
40.5852279663 231.710542976
40.5962600708 231.666564868
40.5929336548 231.476422869
40.6002731323 231.588607066
40.5855407715 232.028683228
40.5840988159 231.525972797
40.5937652588 231.673662703
40.6151885986 231.656031346
40.6022224426 231.61420692
40.613822937 231.665942382
40.6047859192 231.544883811
40.579662323 232.046644119
40.5801239014 231.604985015
40.5809822083 231.5974459
40.5616340637 232.19753632
40.5837249756 231.582212512
40.605178833 231.782224525
40.6291313171 231.946187426
40.6246986389 231.600955648
40.6305847168 231.57388026
40.6058540344 231.823300446
40.6272926331 231.540063362
40.6295852661 231.441482338
40.6381530762 231.443510007
40.6492538452 231.312933222
40.6911392212 231.630364608
40.6642990112 231.258339984
40.6232833862 231.322249819
40.6076622009 231.486515699
40.6309738159 231.984699186
40.6281852722 231.215673541
40.638053894 231.493553629
40.6418113708 231.306404583
40.6075210571 231.543778976
40.6411857605 231.800340732
40.5901069641 231.719917558
40.5392341614 231.388536155
40.5451393127 231.495550389
40.5335998535 232.082662843
40.5443305969 231.809515375
40.5708999634 231.551757418
40.578868866 231.91771633
40.5670318604 231.500592276
40.5436019897 231.530356165
40.5566978455 231.475250998
40.5364379883 231.480316819
40.5598487854 231.405529443
40.5542869568 231.178871854
40.5469779968 231.24120252
40.5523223877 231.25415056
40.5629272461 231.802020949
40.5645332336 231.534421299
40.5419273376 231.422168089
40.5264434814 232.173445358
40.5374412537 231.626800178
40.541721344 231.267762222
40.5378608704 231.188717168
40.5914764404 231.663506377
40.5432548523 231.354741398
40.5460968018 231.2907709
40.5512580872 231.510060233
40.5875854492 231.428010032
40.56690979 231.286966312
40.5910644531 231.264376784
40.5921554565 231.224131506
40.6108551025 231.551128381
40.5647964478 231.241080955
40.5747337341 231.534737388
