rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
46.018447876 88.8935747445
45.80909729 86.5307353725
45.8458442688 86.693718527
45.949092865 86.4634899343
45.8801765442 86.6661946202
45.8468017578 86.6124028268
45.864982605 86.6292979054
45.8991241455 86.5162738864
46.0298690796 86.8780557959
45.9037704468 86.5551336799
45.917350769 86.8744823072
45.7532272339 86.6036376815
45.8502082825 86.6863158064
45.7744369507 86.5631920346
46.0585899353 86.7303973176
46.0288276672 86.5239557829
45.990940094 86.5195984471
45.8390159607 86.5570554628
46.0648612976 86.5104548688
45.9387779236 86.6005437983
45.977558136 86.6418886771
45.9388542175 86.4450196475
45.9659423828 86.5503659036
45.9986495972 86.6615820332
45.9538803101 86.4814322671
45.9957504272 86.5444954057
46.0038223267 86.452919913
45.9715423584 86.6076219576
45.7461204529 86.5421693568
45.9934959412 86.589679111
46.0012969971 86.4592713268
46.0063667297 86.7500115993
46.0443305969 86.6861491639
46.0736312866 86.5647823458
45.9849128723 86.6039405277
45.8013381958 86.5254788069
45.9912986755 86.3803799344
45.8887443542 86.5267123186
45.9957771301 86.4864301113
46.0406723022 86.5491785315
46.1009025574 86.6076187364
45.9530830383 86.5965960827
45.9584732056 86.458007346
45.995967865 86.4656772091
45.9510612488 86.4258065025
45.9066543579 86.4022264724
45.7953071594 86.5709191566
45.8069381714 86.9083156315
45.9197731018 86.5212997447
45.9512672424 86.4396852881
45.882686615 86.6238101605
45.8635139465 86.6722925
45.9211769104 86.6854256161
45.8252868652 86.5768677718
45.9842338562 86.6329099653
45.9007492065 86.696630504
45.9471664429 86.6012913195
45.9867706299 86.555906611
45.7856750488 86.472346177
45.9626045227 86.5270129896
45.9804153442 86.4397311733
45.975769043 86.6909153667
45.9904518127 86.4512441233
46.0134391785 86.5534807989
46.1095085144 86.7820006723
45.9976158142 86.4824742829
46.1114273071 86.7817552605
46.0605964661 86.5818002092
45.9974594116 86.6054178165
46.0225296021 86.5355551365
45.934299469 86.5661287993
45.9027404785 86.5393376425
45.9591941833 86.5293086525
45.9030189514 86.4418017399
45.8988304138 86.6436580395
46.0310134888 86.3985454821
46.0139083862 86.5655365162
46.0329742432 86.4275020271
45.9030227661 86.6317121328
45.8221244812 86.6542670103
45.7995033264 86.5613410215
45.7695007324 86.6209517814
46.0759239197 86.5859335287
45.8802642822 86.5702161474
45.8732032776 86.5214336112
45.9342460632 86.5431745098
45.9520111084 86.5991455099
45.744178772 86.5023388943
45.7545700073 86.6504558959
45.6875572205 86.582712674
45.9730491638 86.6181836201
46.06690979 86.6732803996
45.7398109436 86.4343495656
45.7735137939 86.5026546592
45.6639442444 86.6572771653
45.9221878052 86.6249956192
45.8249778748 86.5899268732
45.8911437988 86.4544264013
45.9285469055 86.6839144484
45.9457511902 86.4985801113
45.9490356445 86.5998165314
45.9684906006 86.4640323454
45.7617874146 86.5378226493
45.7767753601 86.7473436211
45.8168792725 86.7043584635
45.9838256836 86.4239248351
45.9582328796 86.5040634426
46.1039009094 86.6561424371
46.0110816956 86.4375439451
45.988319397 86.7323491017
46.0544776917 86.4572051371
45.703742981 86.6044116955
45.8519363403 86.5892145997
45.9179382324 86.4672908566
46.0215644836 86.4963595618
45.9277572632 86.4748128578
45.9218788147 86.4846197469
45.9370994568 86.5795395573
45.9646453857 86.4997334329
45.9525604248 86.3761817144
45.9701805115 86.6350983175
45.9797782898 86.6018525681
45.7961235046 86.4643151501
45.7831230164 86.6051734741
45.9765548706 86.5611427644
45.9651069641 86.7490553732
45.9683990479 86.6052272
46.0278205872 86.6094050919
45.9633026123 86.4600439266
46.0599555969 86.4498497246
45.9773101807 86.6574136803
45.9854011536 86.5677435398
45.9389762878 86.46839848
45.9178161621 86.5164249673
45.9331512451 86.4107708582
45.8829956055 86.502710133
45.9666938782 86.6227277949
46.0491142273 86.573406441
46.0389289856 86.4631024092
45.9307518005 86.1482349738
46.0048942566 86.0291271299
45.8919525146 85.8619057165
46.0736579895 85.8595500395
46.0649795532 86.0225352485
45.9744033813 85.8051573783
45.9980812073 85.88461832
45.9496612549 85.9256461272
46.0346832275 85.8617193163
46.0913162231 85.9294967874
45.9812202454 85.7243355333
45.8965644836 85.950830438
46.0432853699 85.7999444501
46.0420608521 86.0525981608
46.003780365 85.8315092975
45.9973449707 85.9511135927
46.0242271423 85.9362878685
45.7375488281 86.0641001339
46.0268592834 86.0133103227
45.9789352417 85.8541746105
46.0394363403 85.7650864486
46.0114860535 85.8787950155
45.9961585999 85.7775921423
46.0830001831 85.9915340078
46.0170555115 85.8333928529
46.0974578857 86.0187455902
46.0346946716 85.8410234215
45.9063796997 85.8632464427
45.7580413818 85.8885932538
45.9738616943 86.0755099221
45.8526687622 85.9745928053
45.9756813049 85.6843869027
repacking frequency for this run is 100
45.0909156799 87.5160426801
44.5909194946 85.6575541425
44.6480979919 85.6278721676
44.6676177979 85.6027062762
44.4794502258 85.511982894
44.6066970825 85.6320939716
44.5511779785 85.3780528909
44.3293609619 85.4159868945
44.3285484314 85.6660382844
44.6527175903 85.403379342
44.4314880371 85.425081238
44.5148963928 85.4848801802
44.4650382996 85.4292572139
