rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
73.7736587524 294.160057986
71.2067337036 285.383721671
71.1172943115 283.496036664
71.1312866211 284.276592784
71.0682754517 283.607560778
71.0669174194 283.588197135
71.1832046509 284.04570712
71.1333084106 284.963123597
71.1633224487 283.282128925
71.1118927002 283.418854233
71.1189880371 283.059289455
71.0363464355 282.189035852
70.9652481079 282.43109036
70.7888183594 280.625658455
70.7976455688 280.886240526
70.7354202271 281.343152263
70.6493377686 279.976843717
70.6597976685 280.21104624
70.6302108765 279.778353882
70.6520385742 280.110065807
70.6349868774 279.76869578
70.6998748779 279.83388849
70.6546630859 280.607035051
70.6477508545 280.894835151
70.643913269 280.63432969
70.6365280151 281.257997116
70.6170806885 280.813824178
70.6328735352 280.953773206
70.6012954712 282.03004295
70.6362457275 280.752388094
70.5882110596 279.139933655
70.6300430298 279.217946696
70.5485305786 278.399850634
70.4517059326 277.569888832
70.4538803101 277.718764549
70.4901580811 278.383554791
70.4438400269 276.891523029
70.4529190063 277.345878282
70.4433517456 277.083788547
70.4518585205 277.370551844
70.4010925293 277.437961247
70.4137954712 277.313869647
70.4729003906 277.4251743
70.4413070679 276.931118067
70.4595031738 277.849288777
70.4465484619 277.136113854
70.4513092041 277.082263609
70.4661941528 277.048023401
70.4467391968 277.013301438
70.4160003662 276.783551742
70.3728256226 276.925748013
70.4024734497 276.650466119
70.367149353 277.252456085
70.3263778687 276.223549888
70.2621612549 276.53112416
70.2425537109 276.426762833
70.2515716553 276.089864746
70.2600708008 276.385566299
70.2294845581 276.154542459
70.2322463989 276.417057691
70.2105636597 276.066041396
70.2581481934 276.54694963
70.1790237427 276.23353479
70.1581268311 276.708273848
70.2314300537 274.891118115
70.2675476074 277.132280922
70.2715072632 275.752956052
70.266204834 275.314899912
70.2867279053 276.394935987
70.1972198486 275.924077732
70.1700134277 276.767044292
70.2310562134 276.198181208
70.2328491211 275.793553231
70.2808685303 275.788878013
70.2705230713 276.367930959
70.2393188477 275.621119871
70.2188110352 275.449809705
70.2739639282 274.946135123
70.2735443115 276.204699705
70.1903610229 275.590085838
70.220664978 275.393833573
70.2269973755 274.588760467
70.2405166626 275.491245154
70.1719436646 275.846570743
70.1462249756 273.944579849
70.1557006836 273.59532895
70.1459121704 274.221381142
70.1541824341 275.682705669
70.1089248657 274.334305203
70.1115493774 273.996715144
70.1287460327 274.530519887
70.1086196899 275.116177783
70.0324935913 274.83803196
70.0565719604 274.734967641
70.0806274414 275.249542904
70.0989761353 275.982703564
70.0773010254 274.865952308
69.963394165 274.767402162
69.9602584839 273.717492759
69.9190597534 272.801548889
69.8674850464 272.652220773
69.8362731934 273.09359195
69.8349075317 271.981674651
69.8471298218 272.763105728
69.8622512817 273.249738848
69.8721084595 273.513108869
69.866065979 271.637050096
69.8926086426 272.799520984
69.857673645 271.751232159
69.8633575439 271.672526989
69.8617706299 272.063518132
69.8424606323 272.374657909
69.8828964233 272.150222749
69.8795318604 271.78214115
69.8197402954 271.884236787
69.8231048584 271.548998251
69.8269348145 273.874782272
69.8592147827 272.3171666
69.8354110718 271.842356586
69.8379211426 272.297743502
69.833190918 272.077630188
69.8667297363 272.309647664
69.8237457275 271.8539853
69.8504257202 272.197276808
69.8456726074 271.893431521
69.942565918 273.597376175
69.9117279053 272.211132313
69.8596038818 272.115743184
69.7946166992 271.790870549
69.9235992432 272.156208539
69.8974914551 272.208035087
69.9041595459 271.868596413
69.8325271606 271.720350875
69.8407211304 273.667159875
69.8647842407 271.837495946
69.8420181274 273.889782247
69.8445129395 273.75378166
69.6781387329 273.273412885
69.6996231079 272.684038806
69.7335281372 272.866634621
69.6901397705 272.739871148
69.7522659302 272.489759405
69.7192840576 272.179025495
69.6981201172 271.509728008
69.6393280029 271.456615298
69.6730575562 271.078824808
69.6826782227 271.798847791
69.7113571167 271.58258084
69.662322998 270.691795339
69.728263855 270.225147697
69.7127914429 270.29295304
69.7547836304 270.482193787
69.7731246948 270.472495454
69.7323760986 269.524073647
69.7413482666 270.317019832
69.7284011841 270.163620579
69.6755752563 270.111553501
69.6927032471 270.251752681
69.7137374878 270.676537264
69.7150878906 270.705679492
69.6585845947 271.101334548
69.685874939 270.602613582
69.7051544189 270.364891131
69.7378845215 270.641140463
69.7024993896 270.053880238
69.6878356934 269.762509013
69.6713562012 269.81424611
69.6819992065 270.051753166
69.6774902344 270.486445257
rmsd best score this run is 269.494128623
rmsd it has a RMSD of 69.699211120669.6992111206 269.494128623
repacking frequency for this run is 100
72.6128540039 290.880994401
71.3386154175 286.327486343
71.2876586914 285.87951193
71.1117401123 285.180976596
70.939201355 282.663921094
70.9421615601 282.164044169
70.9323196411 282.169822791
70.8935623169 281.956313189
70.8742599487 282.371567455
70.5947189331 280.507506752
70.5600128174 280.286515563
70.5430221558 279.811456868
70.5305557251 279.817576174
70.5087203979 280.520445543
70.5055160522 279.626495281
70.5197067261 279.921991481
70.5179977417 279.066900443
70.5037536621 279.800110831
70.5071716309 278.945418025
70.5006103516 279.435505538
70.4780807495 282.018338889
70.4489822388 280.57715641
70.4177017212 280.535796331
70.3906402588 279.953061658
70.3050384521 279.654186621
70.2393188477 277.425624506
70.2626724243 277.286888618
70.2698059082 277.133794279
70.2327270508 276.530357225
70.2325286865 276.220575195
70.2159957886 277.083016187
70.2151641846 276.711558148
70.2209243774 276.445032247
70.2338180542 277.102671657
70.2647094727 277.390641865
70.2346801758 278.024366849
70.1860198975 276.615257116
70.1703720093 276.412502861
70.1930007935 276.865637787
70.1581954956 276.779165412
70.2126312256 276.739075365
70.2117843628 276.757388109
70.1765289307 276.262065305
70.0874176025 275.517884269
70.1154556274 275.883299522
70.1285552979 275.820783258
70.0860290527 275.879091004
70.0918960571 276.265352092
70.083770752 276.199350367
70.0933914185 276.282876541
70.1174926758 276.018112912
70.0792694092 275.880420309
70.0825576782 276.583758207
70.0687179565 276.650834129
70.112991333 275.592711143
70.1087799072 276.280285966
70.1277008057 276.702619784
70.098526001 277.224839785
70.0621871948 277.355309146
70.125869751 276.198787559
70.0793991089 276.099882711
70.0867996216 276.563745951
70.0716171265 277.51064524
70.0964508057 276.687385885
70.0668411255 276.682030782
70.103477478 277.739823013
69.9641571045 276.820663066
69.9823913574 276.417426554
69.9693222046 275.674861094
70.0042419434 275.103353493
69.9856719971 274.944638774
69.998840332 274.823204778
69.9856338501 272.913020868
69.981880188 272.521468587
70.0531387329 273.040519606
70.0396347046 273.11288468
70.0317230225 273.920260327
70.0404663086 273.279273282
70.0083465576 273.90237966
70.0361938477 273.502510734
70.061668396 273.172651853
70.0456466675 272.77770554
70.0110626221 274.249045575
70.0424880981 272.426602659
70.028755188 272.058699718
70.0496673584 273.522616329
69.9874725342 272.966021881
69.985748291 272.785797925
69.9904098511 272.431799323
69.9824295044 272.223691621
69.8955993652 272.164957648
69.9116668701 272.587756301
69.9210586548 272.397275388
69.9346542358 272.02881864
69.9465332031 271.511815262
69.9344406128 270.890326473
69.9702453613 271.4196198
69.9600830078 271.042477752
69.8933486938 270.233125929
69.8955307007 269.906864381
69.8981399536 270.339417628
69.9005889893 269.861910663
69.9024734497 271.139872521
69.8915481567 269.671584454
69.9332427979 272.882767447
69.9285125732 272.193584409
69.9248809814 270.798651955
69.9059448242 271.229558409
69.9071121216 271.054410785
69.9159851074 271.51031263
69.899269104 271.882941408
69.8846969604 271.43386494
69.9004898071 271.543973883
69.9056167603 270.719852704
69.8926010132 270.748868567
69.8782653809 271.112623045
69.8650894165 270.426230319
69.864982605 270.590736169
69.9033889771 270.575202361
69.9549484253 271.242731148
69.9203491211 270.840637942
69.8916397095 270.70006581
69.8996505737 271.159863718
69.9243850708 270.209973
69.9033203125 270.757993657
69.9136886597 270.631155109
69.9376907349 271.309796355
69.9966812134 272.705907793
69.888885498 270.342493978
69.9302139282 270.396024012
69.8857192993 270.756176961
69.9070587158 270.420210928
69.8840103149 271.258657962
69.8828353882 270.386339256
69.8785400391 270.082627015
69.8747329712 270.504057777
69.8831863403 270.527336361
69.8633804321 270.55361593
69.8508834839 270.545926749
69.8493728638 269.478079402
69.8399047852 270.843730433
69.8058624268 269.978889298
69.8035583496 269.912590977
69.8259658813 269.835489302
69.8113021851 269.935499724
69.8619003296 270.108126039
69.8538665771 269.35674056
69.8474807739 270.449140657
69.8571395874 270.85988915
69.8658218384 269.587517553
69.8614959717 270.053394141
69.8501358032 271.732879891
69.8444061279 270.75878447
69.8239059448 270.541052572
69.8749923706 270.176073174
69.841293335 270.981559726
69.8568115234 270.373129407
69.814125061 269.470061614
69.8535766602 269.664064524
69.8681182861 269.45011385
69.8336791992 269.902415526
69.9075622559 269.927603672
69.9302215576 269.730713665
69.8972320557 269.716603711
69.8997573853 270.809619613
69.8940200806 270.790961141
69.8677368164 270.214531139
69.8715057373 270.106416495
69.8347473145 271.898589099
rmsd best score this run is 268.994152265
rmsd it has a RMSD of 69.886146545469.8861465454 268.994152265
repacking frequency for this run is 1000
74.1116409302 295.502873334
71.8748931885 287.233026138
71.7827301025 286.354142621
71.7961730957 286.461230204
71.7377471924 286.147580369
71.6654129028 286.032283739
71.508972168 285.307250399
71.4249725342 285.004146767
71.3224182129 284.746520616
70.9147186279 281.703574838
70.9661026001 281.566702824
70.9549102783 280.717709392
70.9337463379 281.003109933
70.9077453613 282.03154222
70.9447860718 281.612792838
70.9265975952 281.308543597
70.8548736572 281.167304796
71.07837677 283.575033397
70.8863296509 282.058420129
70.8545837402 281.007371527
70.8319702148 281.097276567
70.860206604 281.31862123
70.7871704102 281.147698219
70.7849884033 280.962972565
70.761428833 281.090925772
70.7826461792 280.89716981
70.8058395386 281.291983634
70.7815246582 281.186522844
70.7591171265 281.554525431
