rmsd and score between current and native structure
rmsd		score
repacking frequency for this run is 10
46.054271698 87.4081023367
45.9390144348 85.2333738634
46.017906189 85.257357663
46.0459442139 85.1614790242
46.0365066528 85.011878176
46.0749320984 84.9731374696
45.999206543 85.1836803658
45.9945335388 84.9748866946
46.0553703308 85.1679804848
46.0004692078 85.1287644544
46.0896072388 85.2901640929
46.0441017151 85.2441984375
46.0538063049 85.1721803702
46.0231056213 85.0168717081
46.0970573425 85.0848464399
45.9679222107 85.1994165654
46.0008659363 85.0800953361
46.0096473694 85.0902712986
46.0409545898 85.0850477346
46.0364570618 85.093102081
46.0356369019 85.1348248771
45.9289474487 85.0342481658
46.0304107666 85.2217420015
46.0430335999 85.0522662233
46.0182800293 85.1747154136
46.0347213745 85.122840399
46.0297317505 85.0658902014
46.0612068176 85.1289785734
45.990146637 85.1420013289
45.9828567505 85.2276979851
46.002456665 85.1758250495
46.0328521729 85.2500112449
46.0578384399 85.1998550606
46.1074829102 85.2171515251
46.0325431824 85.2431241003
46.0766983032 85.2367049454
46.0281105042 85.0459373821
46.0155982971 85.2422763513
45.9411582947 85.3402973524
46.098072052 85.1970739863
46.0954246521 85.1449523144
46.0125694275 85.134869809
46.0434188843 85.2862450049
46.0816116333 85.1609268617
46.0549430847 85.2208944202
46.0947723389 85.106488304
46.0794067383 85.4767073487
46.0701255798 85.0630246519
46.0844802856 85.0847451011
46.0600090027 85.1493499963
46.0578651428 85.0832753257
46.0411949158 85.0765770785
46.0617523193 85.1648089975
46.0484313965 85.051437998
46.0589141846 85.2860353693
46.1118392944 85.2023706129
45.3449745178 84.7478054433
45.5954475403 84.7470353047
45.8745994568 84.6965656763
45.6565589905 84.6155121346
45.6479225159 84.8068485495
45.5624961853 84.7474512849
45.573348999 84.8026673252
45.6089630127 84.9306536487
45.91355896 84.4599062578
45.8182029724 84.4497811931
45.7863044739 84.4399355758
45.8954238892 84.5410479587
45.9193763733 84.4269280671
45.848903656 84.514177959
45.9022483826 84.5442912869
45.9179115295 84.3560945104
45.90467453 84.5292397711
45.8156776428 84.7783758264
45.918422699 84.65800634
45.8759078979 84.5202229198
45.9067802429 84.5170302752
45.8620491028 84.7559256247
45.8793907166 84.5935758683
45.8763427734 84.7100675418
45.9139442444 84.5737710744
45.8218917847 84.5997533159
45.8950271606 84.6177030195
45.9276046753 84.5686960414
45.8319129944 84.4300671043
45.9326477051 84.4707722914
45.7309875488 84.510527162
45.9010925293 84.6437351895
45.8667793274 84.7468554588
45.8495445251 84.4537324834
45.9152183533 84.5248255471
45.8913879395 84.3861873775
45.8261795044 84.4385396865
45.911781311 84.4705158999
45.9284095764 84.4177143192
45.8648948669 84.5025694607
45.8758735657 84.5191025362
45.9468917847 84.5296674364
45.8663902283 84.574929454
45.8293304443 84.417477459
45.7948417664 84.477370086
45.8027076721 84.8095628098
45.8951644897 84.4479857522
45.8720321655 84.6775664935
45.899230957 84.379977866
45.8751144409 84.3586957886
45.6804161072 84.6157904509
45.9239578247 84.5191977612
45.888256073 84.5688144034
45.8982086182 84.461975307
45.9193572998 84.6308825792
45.9133377075 84.626045193
45.940448761 84.6417319451
45.9048805237 84.5966174049
45.8640632629 84.6278595189
45.8885993958 84.5728202628
45.9235458374 84.4010546241
45.9049911499 84.4491392604
45.8870162964 84.6868187655
45.7700042725 84.7466593275
45.9098701477 84.5844865782
45.9183921814 84.5628572608
45.8836402893 84.4780619105
45.9062423706 84.5751597499
45.8354873657 84.36170198
45.8403778076 84.5396828184
45.9212417603 84.8811833416
45.8560752869 84.5011278612
45.9015464783 84.4265737557
45.8945159912 84.6402288679
45.8855323792 84.4286615855
45.8003349304 84.4426927364
45.8865280151 84.4142856808
45.9195022583 84.5567343236
45.9261245728 84.3553501884
45.8584289551 84.3942239242
45.894077301 84.440235968
45.9175796509 84.3410783631
45.8276519775 84.6510675246
45.7689437866 84.7245901523
45.6861610413 84.4925483262
45.8858413696 84.7140945273
45.8693809509 84.511607859
45.8513069153 84.5012211253
45.6851119995 84.7596167997
45.8447570801 84.7381901196
45.8440666199 84.7044522068
45.8955574036 84.5229199237
45.8105125427 84.5234878161
45.933467865 84.5077115988
45.8199691772 84.4972001315
45.937828064 84.661585262
45.9291267395 84.5996470721
45.9208068848 84.5882569065
45.902961731 84.4593304532
45.9131088257 84.5542549194
45.7150802612 84.5132212491
45.8152313232 84.6026273159
45.9038047791 84.5542295984
45.8467674255 84.6408182168
45.892906189 84.5462828816
45.758808136 84.5709833325
45.8467216492 84.412929634
45.9092254639 84.5339517133
45.7821655273 84.5516333682
45.6314888 84.7063605011
45.878288269 84.4945152756
45.9632339478 84.5671221115
45.8067321777 84.4170675199
45.736743927 84.59884566
rmsd best score this run is 84.2616880017
rmsd it has a RMSD of 45.828926086445.8289260864 84.2616880017
repacking frequency for this run is 100
45.3146362305 86.9818352117
45.5967826843 84.9936557003
45.5779266357 84.8084787901
45.3808364868 84.715649021
45.3351898193 84.8225182073
45.3639259338 84.8706406969
45.4349784851 84.820131176
45.572467804 84.7290177682
45.4834823608 84.7219440356
45.4798316956 84.7279487867
45.4808273315 84.818496794
45.6023521423 84.737104037
45.404964447 84.7592119105
45.3461112976 84.8578797664
45.5449905396 84.7644917123
45.558391571 84.7754906057
45.3153953552 84.7946674198
45.4438323975 84.9181943929
45.5685424805 84.8059014527
45.2979164124 84.8685436836
45.4984855652 84.7555669738
45.2886695862 84.7441361233
45.2707290649 84.7243645281
45.4608840942 84.8799727159
45.237159729 84.8021537528
45.4155349731 84.8853743365
45.3765678406 84.8288336183
45.3067169189 84.7836832034
45.3507232666 84.7282860058
45.4381561279 84.8967137974
45.2791862488 84.7129688332
45.3517494202 84.73765454
45.2371253967 84.8602166903
45.3441581726 84.849786164
45.1935424805 84.8127979925
45.241519928 84.7443544488
45.2941818237 84.7455432879
45.4135437012 84.8053526381
45.3115119934 84.7319845606
45.2956924438 84.7499448669
45.1415863037 84.7297436226
45.3049430847 84.6887282123
45.1781272888 84.7622011004
45.3205757141 84.9180184752
45.3931808472 84.8899415793
45.3056755066 84.7815993859
45.1155281067 84.7608347061
45.2531890869 84.8072677943
45.3316421509 84.6872314974
45.2385292053 84.777751688
45.0128860474 84.7894040785
